百花齐放	万马奔腾
春寓枝头迎佳节	福在心里接羊年
辞年喜饮三蛇酒	贺岁争描八骏图
大道扬鞭驰骏马	高天阔地展雄才
大路长征驰骏马	中华伟业展雄才
大鹏俯视万春寨	天马驰骋五里街
大鹏欢喜天空阔	骏马何愁道路长
大鹏展翅青云路	骏马奔驰浩荡春
得意春风催骏马	及时惠雨润鲜花
东方古国红旗舞	大路长征骏马驰
冬去蛇留诗意里	春来马入画图中
冬去蛇留诗意美	春来马跃画图新
飞驰骏马鞭高举	欢庆新年酒满斟
风尘一路马蹄碎	爆竹千家春意浓
风光秀丽随春展	道路逶迤任马驰
伏枥犹存千里志	添翼更上九重天
福到门庭梅吐艳	马驰道路柳生烟
改革新潮催骏马	振兴大业起宏图
高天雪舞银蛇去	大地春归骏马来
庚晨日暖春来早	午院花香蝶舞忙
古柳荫中来走马	好花深处有鸣禽
豪情振笔歌新岁	骏马加鞭奔坦途
好借春风酬壮志	快催骏马跃前程
好凭妙手书鹏赋	当显雄才唱大风
好雨知时群卉盛	春风得意四蹄轻
红旗辉映神州地	骏马喜迎大治年
红旗招展九州画	骏马奔腾万里春
红旗指引强邦路	骏马驰骋富国途
红霞瑰丽铺云路	骏马奔腾荡柳烟
宏图锦绣众人绘	大道逶迤万马驰
鸿雁翔云迎旭日	青骝夺路起桃烟
花柳新春莺燕舞	风云盛世骏骐驰
花木向阳春不老	骅骝开道景无边
化雨携来龙露贵	踏花归去马蹄香
江涛气势风雷动	龙马精神世纪兴
捷报随雪飞梅上	蹄花染香到春头
金戈铁马奔大道	碧血丹心献中华
金蛇狂舞九州景	骏马欢腾四海春
金蛇起舞颂功去	骏马奔腾报捷来
金蛇喜舞九州富	骏马欢腾四海春
九天日暖张鹏翼	四野春新逐马蹄
举红旗旗开得胜	乘骏马马到成功
骏马奔腾春色丽	艳阳照耀岁华新
骏马奔腾千里路	新春更上一层楼
骏马奋蹄千里路	大鹏舒翼九重天
快马加鞭争朝夕	壮志凌云写春秋
蓝图全靠能人绘	骏马还凭伯乐挑
老骥常存千里志	夕阳惯照万重山
勒马开怀颂改革	迎春祝酒庆丰年
灵蛇匿迹飞青霭	天马行空驾白云
龙伴腊归留胜迹	骥随春到展宏图
龙马精神驰大道	鲲鹏志向搏高天
龙马精神壮四海	风云气象会三春
绿水青山迎宝马	红梅白雪送灵蛇
诚心乐作人间事	俯首甘为孺子牛
川原蝶舞翩翩好	田野牛耕户户忙
春到人间新燕舞	喜盈门第铁牛忙
春归大地黄牛跃	神轾人间紫燕飞
春临门户白雪化	福降人间黄牛忙
辞旧迎新除硕鼠	富民强国效勤牛
辞鼠修仓迎稻熟	催牛耙地促年丰
翠柳迎春千里绿	黄牛耕地万山金
当年禹甸多铜马	今日春郊遍铁牛
丁年鼠匿辉煌业	丑岁牛奔旖旎春
耕者有牛皆种地	神州无处不欢歌
横心誓扫官仓鼠	俯首甘为孺子牛
红梅傲雪千门福	碧野放牛五谷丰
户户厌恶大硕鼠	家家喜爱老黄牛
花开江左白雪尽	春到人间黄牛忙
花木逢春枝叶茂	牛羊得草体膘肥
黄牛吃草生新奶	紫燕衔泥筑小巢
黄牛舔犊芳草地	紫燕营巢杏花天
家兴人兴事业兴	福旺财旺运气旺
家接吉祥万事兴	门迎富贵百事旺
五湖四海皆春色	万水千山尽得辉
和顺一门有百福	平安二字值千金
一年四季春常在	万紫千红永开花
百世岁月当代好	千古江山今朝新
四面荷花三面柳	一城山色半城湖
生意兴隆通四海	财源茂盛达三江
喜居宝地千年旺	福照家门万事兴
一年四季行好运	八方财宝进家门
绿竹别其三分景	红梅正报万家春
红梅含苞傲冬雪	绿柳吐絮迎新春
日出江花红胜火	春来江水绿如蓝
春临大地百花艳	节至人间万象新
吉祥平安天赐福	荣华富贵地生财
鸿运带来九州福	富贵迎进四海财
龙腾碧海赞海阔	鸟舞蓝天领天高
蹄奋不须鞭震耳	牛勤何用用当头
人顺家和福星照	心想事成鸿运门
八骏嘶风传捷报	五羊跳跃展新图
人怀远志驰良马	世易新春唤白羊
万树争荣添翠色	五羊献瑞报佳音
万象更新新世纪	五羊献瑞瑞门庭
万象已随新律转	五羊争跃好春来
一片白云羊变幻	千条翠柳燕翻飞
马步生风辞旧岁	羊毫挥墨写佳联
马岁事事合民意	羊年处处沐春风
马驮硕果归山去	羊踏青坪报喜来
小道羊肠无阻碍	雄心捷足好登攀
马驰碧野凯歌壮	羊跃青山景色新
马驰大道征途远	羊上奇峰景色娇
马首关情吟妙句	羊毫随意绘新图
马首是瞻新世纪	羊毫尽绘好春光
马蹄踊跃驰千里	羊角扶摇上九霄
马尾松劲承雨露	羊毫妙笔点春光
马尾松青凝瑞雪	羊毫笔墨舞春风
五羊城中春光好	九州域内人面新
不舍风驰追马迹	行看岁稔话羊年
长空载誉夸天马	大地回春颂吉羊
世上尘埃随马尽	人间春色逐羊来
五羊结彩迎新纪	六畜兴旺报好年
五羊衔穗年丰稔	双燕迎春岁吉祥
五羊献瑞人增寿	百鸟鸣春喜盈门
五羊献瑞增春色	百鸟争鸣唱福音
玉树葱茏皆出色	金瓯稳固不亡羊
玉羊启泰迎春至	金马奋蹄载誉归
玉宇澄清观燕舞	草原茂盛喜羊欢
白羊越涧探春景	紫燕绕梁报福音
百凤迎春朝旭日	五羊衔穗兆丰年
世纪春风萌绿草	山乡柳笛放群羊
世纪更新花吐艳	春风送暖瑞呈祥
春草茸茸催马壮	碧溪潺潺助羊肥
九州百族辞马岁	两岸三通接羊年
老马识途归故里	羔羊跪乳报春晖
马驰万里传捷报	羊越千山奏凯歌
吉羊得草延春色	紫燕衔泥落好家
马驰碧野凯歌壮	羊跃青山景色新
骏马功成领功去	吉羊捷足报捷来
羊年喜千家祝福	国运昌万物生春
长空载誉夸天马	大地回春颂吉羊
马蹄踊跃驰千里	羊角扶摇上九霄
催马唤羊逢盛世	叱云沐雨览新春
吉羊健步迎春至	洪福齐天及地来
雏鸭报春江水暖	灵羊衔穗稻花香
欢声笑语贺新春	欢聚一堂迎新年
财源滚滚随春到	喜气洋洋伴福来
东风入喜财入户	岁月更新福满门
大顺大财大吉祥	新春新喜新世纪
占地利天时人和	取九州四海财宝
高居宝地财旺盛	福照家门富生辉
天地温柔家添财	安全如意人多福
春归大地人间暖	福降神州喜临门
内外平安好运来	合家欢乐财源进
日日财源顺意来	年年福禄随春到
迎喜迎春迎富贵	接财接福接平安
创大业千秋鼎盛	展宏图再就光辉
一路平安年年好	万事如意步步高
民安国泰逢盛世	风调雨顺颂华年
精耕细作丰产岁	节约持家有余年
奋发图强兴大业	勤奋致富建小康
欢欣鼓舞度佳节	张灯结彩迎新春
迎新春事事如意	接鸿福步步高升
万事如意展宏图	心想事成兴伟业
和顺门第增百福	合家欢乐纳千祥
一帆风顺吉星到	万事如意福临门
一帆风顺年年好	万事如意步步高
一干二净除旧习	五讲四美树新风
一年好运随春到	四季彩云滚滚来
一年四季春常在	万紫千红永开花
一年四季行好运	八方财宝进家门
喜居宝地千年旺	福照家门万事兴
一帆风顺年年好	万事如意步步高
百年天地回元气	一统山河际太平
春雨丝丝润万物	红梅点点绣千山
一干二净除旧习	五讲四美树新风
五湖四海皆春色	万水千山尽得辉
一帆风顺吉星到	万事如意福临门
一年四季行好运	八方财宝进家门
绿竹别其三分景	红梅正报万家春
红梅含苞傲冬雪	绿柳吐絮迎新春
日出江花红胜火	春来江水绿如蓝
春临大地百花艳	节至人间万象新
欢声笑语贺新春	欢聚一堂迎新年
事事如意大吉祥	家家顺心永安康
迎新春江山锦绣	辞旧岁事泰辉煌
旧岁又添几个喜	新年更上一层楼
东风化雨山山翠	政策归心处处春
家过小康欢乐日	春回大地艳阳天
多劳多得人人乐	丰产丰收岁岁甜
壮丽山河多异彩	文明国度遍高风
财连亨通步步高	日子红火腾腾起
福旺财旺运气旺	家兴人兴事业兴
大地流金万事通	冬去春来万象新
岁通盛世家家富	人遇年华个个欢
百世岁月当代好	千古江山今朝新
春雨丝丝润万物	红梅点点绣千山
事事如意大吉祥	家家顺心永安康
迎新春江山锦绣	辞旧岁事泰辉煌
旧岁又添几个喜	新年更上一层楼
东风化雨山山翠	政策归心处处春
家过小康欢乐日	春回大地艳阳天
多劳多得人人乐	丰产丰收岁岁甜
壮丽山河多异彩	文明国度遍高风
财连亨通步步高	日子红火腾腾起
福旺财旺运气旺	家兴人兴事业兴
年年顺景则源广	岁岁平安福寿多
五湖四海皆春色	万水千山尽得辉
喜居宝地千年旺	福照家门万事兴
天增岁月人增寿	春满乾坤福满楼
一帆风顺吉星到	万事如意福临门
一帆风顺年年好	万事如意步步高
一干二净除旧习	五讲四美树新风
一年好运随春到	四季彩云滚滚来
一年四季春常在	万紫千红永开花
一年四季行好运	八方财宝进家门
百世岁月当代好	千古江山今朝新
喜居宝地千年旺	福照家门万事兴
一帆风顺年年好	万事如意步步高
百年天地回元气	一统山河际太平
春雨丝丝润万物	红梅点点绣千山
一干二净除旧习	五讲四美树新风
五湖四海皆春色	万水千山尽得辉
一帆风顺吉星到	万事如意福临门
欢声笑语贺新春	欢聚一堂迎新年
财源滚滚随春到	喜气洋洋伴福来
东风入喜财入户	岁月更新福满门
大顺大财大吉祥	新春新喜新世纪
占地利天时人和	取九州四海财宝
高居宝地财旺盛	福照家门富生辉
天地温柔家添财	安全如意人多福
春归大地人间暖	福降神州喜临门
内外平安好运来	合家欢乐财源进
日日财源顺意来	年年福禄随春到
迎喜迎春迎富贵	接财接福接平安
创大业千秋鼎盛	展宏图再就光辉
一路平安年年好	万事如意步步高
民安国泰逢盛世	风调雨顺颂华年
精耕细作丰产岁	节约持家有余年
奋发图强兴大业	勤奋致富建小康
欢欣鼓舞度佳节	张灯结彩迎新春
迎新春事事如意	接鸿福步步高升
万事如意展宏图	心想事成兴伟业
和顺门第增百福	合家欢乐纳千祥
福星高照全家福	春光耀辉满堂春
跃马迎春春风扑面	抬头见喜喜气盈门
月圆花好鸟飞鱼跃	雨顺风调马壮人欢
一夜报春百花齐放	三阳开道万马奔腾
喜盈门天乐人亦乐	春及第马驰志也驰
喜看大地莺歌燕舞	笑迎农家马壮牛欢
同心同德宏图再展	群策群力快马加鞭
山舞银蛇春光烂漫	原驰骏马节日欢腾
庆盛世雄狮轻起舞	展宏图快马猛加鞭
鸟语花香满园春色	人欢马叫一路凯歌
明媚春光百花竞放	昌隆国运万马奔腾
灭鼠消灾粮丰人寿	养牛致富国裕家康
马跃人欢九州欢治	鱼肥秧壮四海春浓
马蹄踏碎一穷二白	燕子衔来万紫千红
绿水青山九州生色	金戈铁马四海扬威
快马加鞭振兴祖国	闻鸡起舞建设家园
骏马嘶风九州辞旧	杏花沐雨四海迎新
锦绣山河春和世泰	峥嵘岁月马叫人欢
金戈铁马扬眉吐气	火树银花浴雪迎春
好雨知时百花齐放	春风得意万马奔腾
大海方平千帆竞发	征途正远万马奔腾
春风得意马驰千里	旭日扬辉光照万家
不知索取只知奉献	勿问收获但问耕耘
送马年春花融白雪	迎羊岁喜鹊闹红梅
春满人间欢歌阵阵	福临门第喜气洋洋
春联对歌民安国泰	喜字成双花好月圆
春满人间百花吐艳	福临小院四季常安
佳节迎春春生笑脸	丰收报喜喜上眉梢
春满人间百花吐艳	福临小院四季常安
百尺竿头重跨千里马	十亿人民更上一层楼
百花争艳祖国春光好	万马奔腾改革事业兴
赤帜舞东风江山如画	赤骝奔大路祖国长春
工农携手共跨千里马	干群并肩同上一层楼
举步昂首攀登十八盘	跃马扬鞭飞越天柱峰
快马舞东风春盈四海	梅花香大地喜满九州
腊尽春归山村添喜气	牛肥马壮门户浴春风
马壮牛肥山村添喜气	地灵人杰门户沐春风
鸟语花香九州春光好	人欢马叫四季画图新
奇迹不奇英雄能创造	远征非远良马自奋蹄
人欢马跃开创新局面	燕舞莺歌喜庆夏收年
十亿神州共驰千里马	四化建设更上一层楼
鼠去牛来一元欣复始	春明日丽万象喜更新
五谷丰登银蛇载誉去	百花争艳金马踏春来
喜鹊登梅百族迎佳节	金牛献瑞万里笑春风
喜四化征途莺歌燕舞	看九州大地马叫人欢
新貌新风喜迎新世纪	好鞍好马驰骋好前程
鱼跃鸢飞光景随时好	人欢马叫春潮逐浪高
改革起宏图神州巨变	丰年添笑语万事吉祥
留胜迹水秀山明草茂	谱新歌羊肥马壮春荣
万马扬蹄踏凯歌而去	群羊翘首唤春信即来
张灯结彩欢庆丰收岁	跑马耍羊喜迎艳阳春
喜鹊迎春红梅香瑞雪	吉羊贺岁金穗报丰年
春色明媚山河披锦绣	华夏腾飞祖国万年轻
爆竹迎春春丽五湖四海	红梅报喜喜催万马千军
步新潮须骑骏马驰千里	兴伟业应唤春风惠万家
才过小龙年又催千里马	曾经大风浪更上一层楼
春日融融万树繁花竞放	红旗猎猎千骑骏马争先
宏图大展成就行行伟业	骏马奔腾飞越道道雄关
听遍地豪歌征人添虎劲	看漫天彩霞战马长精神
万马奔腾为江山添锦绣	宏图再展与日月竞光辉
羊笔如花写就辉煌岁月	春风似剪裁成锦绣江山
羊酒微醺酡颜人共桃符艳	春风乍拂捷报声随爆竹传
展智施能雄心共创千秋业	扬鞭跃马矢志同奔万里程
展宏图九州英才扬鞭跃马	创伟业四海豪杰破浪飞舟
跃马扬鞭四化征途奔万马	扬帆契浪一江春水涌千帆
玉宇澄清花香鸟语升平世	金瓯永固马叫人欢幸福春
雨润三春披红戴绿千山舞	旗飘四化跃马扬鞭万众忙
银蛇归去盛赞人间春色美	金马奔来争夸祖国气象新
小龙辞岁好凭妙手书鹏赋	骏马迎春当显雄才唱大风
为国争辉万马齐奔改革路	给民造福千帆竞发富春江
蛇舞取胜除暴安良政局稳	马到成功兴益除弊国力强
千帆竞发几经风雨几经浪	万马奔腾一路凯歌一路春
气贯长虹四化征途催战马	志凌霄汉十亿英雄唱新歌
柳拂春风马蹄得意奔新路	云蒸丽日喜鹊登枝报福音
丽日蓝天万树繁花争早放	阳关大道千骑骏马着先鞭
乐辞鼠岁处处丰收人人乐	歌颂牛年家家富裕户户歌
老马识途奋驾长车奔富路	银蛇献岁昭苏万物舞东风
老骥伏枥退休续谱夕阳曲	苍松傲雪余生再唱春牛歌
快马加鞭协力同心跟党走	葵花吐蕊栉风沐雨向阳开
旧岁蛰蛇蛇舞青山山愈秀	新春跃马马奔大路路更宽
金戈铁马三军猛士戍边邑	伟业殊勋一代精英振国威
继往开来蹄声似鼓惊天地	兴邦强国志气如虹展画图
继往开来世纪春光无限好	承前启后神州骏马有奔头
花红柳绿河山壮丽门庭秀	民富国强龙马奔腾世纪新
改革开放神州巨变真无比	奋发图强骏马奔腾大有为
凤舞龙腾腾龙兴国创新业	人欢马跃跃马扬鞭赴前程
大地回春锦绣河山添异彩	征途跃马英雄儿女着先鞭
策马争春马跃羊年加马力	驾龙追日龙腾龙国振龙威
爆竹一声喜送巳蛇留庶绩	华灯万盏欣迎午马展嘉猷
骏马辞年不懈奔腾千里志	吉羊献岁同迎欢乐万家春
老马识途破雾导航奔胜境	吉羊接力承先启后展宏图
骏马奔驰满载乌金辞岁去	吉羊起舞豪吟白雪报春来
瑞雪绽红梅君正啸天傲地	劳春织绿草我来放马牧羊
岁届吉羊燕舞莺歌齐祝福	年逢盛世桃红柳绿尽芳菲
银蛇随腊去农业丰收欣在望	金马送春来国民经济喜腾飞
小龙舞九州龙伴腊归留胜迹	大骥驰千里骥随春到展宏图
鲜卉挹春风骏马奔腾强国路	神州迎笑语雄狮起舞小康年
万里蓝天莺歌燕舞春光无限	千村碧野马叫人欢淑景连绵
鼠岁报佳音市场兴旺迎胜利	牛年逢盛世香港回归庆团圆
神州呈瑞彩满天捷报迎旭日	大地迎羊年一路凯歌壮春风
快马加鞭万里长征始于足下	争分夺秒四化宏图绘在今朝
看旧岁银蛇起舞群山增秀色	喜今朝骏马奔驰九州尽春晖
骏马早迎春一代英豪图改革	黄莺初唱晓千里乐声唱丰收
九霄鹏鹏举九霄九霄飞捷报	千里马马奔千里千里荡春风
春风会羊年一路凯歌迎盛世	紫气开晴宇满天捷报壮新猷
酣墨沾羊毫记载中华创业史	丹青赋春色绘描改革鼎新图
凯歌阵阵千里马早过玉门关	春风习习带头羊又登泰山顶
马步牵长风长随远景江山好	牵羊迎盛世依然十里杏花红
万马闯雄关春回大地繁花俏	五羊开玉局旗展东风旭日辉
万事本无难只赖吹牛拍马屁	百般都有假谨防屠狗挂羊头
酣墨沾羊毫记载中华创业史	丹青赋春色绘描改革鼎新图
凯歌阵阵千里马早过玉门关	春风习习带头羊又登泰山顶
马步牵长风长随远景江山好	牵羊迎盛世依然十里杏花红
万马闯雄关春回大地繁花俏	五羊开玉局旗展东风旭日辉
万事本无难只赖吹牛拍马屁	百般都有假谨防屠狗挂羊头
振兴伟大中华道路驰骋千里马	迎接崭新世纪人民团结一条心
看旧岁银蛇起舞，群山增秀色	喜今朝骏马奔驰，九里尽春晖
虎劲长存救命降魔英烈人人颂	兔年新至扶贫效国赤心户户歌
重霄日月烛升恒景云祥开久照	八表山川徵乐寿昌期福集新韶
金蛇狂舞舞动千年古国千年情	骏马奔驰驰骋万里江山万里新
景福集璇宫亿万斯年永登仁寿	慈云辉宝殿千八百国莫不尊亲
丽韶景于履端璧带风微翔彩燕	耀春辉于复旦帘衣昼静响铜龙
妙谛证拈花万户千门皆成宝地	明心同指月十洲三岛并现金光
兜罗佛手转金绳永护坤维日月	优钵昙花开宝界增辉震旦山河
环黼扆瑞焕星云共睹尧襟舜抱	萃贞符禔流帱载长披紧镜朱囊
顺时宣象咸宜瑞履青阳开左个	懋德凝禔孔厚祥延紫气卫中垣
旭临鳷鹊初升华祝腾欢连月窟	仗转蓬莱徐引宸居茂对洽春台
化成熙皞验风从治媲春孳夏育	祥迓炽昌昭德致符呈乾络坤维
招南北东西杰才绘我神州特色	集古今中外精粹写吾盛世新篇
洛筹福纪庆洪延象叶居中建五	乾协祥符徵顺叙功牟则大函三
九重敷敛范陈箕曼羡蕃厘共锡	万国会归光戴斗荡平轨路同遵
亿万龄锡羡延洪保定自天孔固	三千界重熙洊洽祥和与物同春
珠囊晷纬迓休徵福界垣昭太乙	玉烛年华彰瑞应昌辰化溥由庚
三壶景象驻恒春扣砌环迎瑾戬	六幕光华徵复旦彤宸茂集繁祺
位育本中和曰旦曰明至诚丕应	寅清浮上下亦临亦保敬德昭宣
广乐奏钧天万国衣冠同瞻旭日	阳春回大地四时橐龠首协温风
玉阶晓拥珩璜天上庆云移宝扇	金阙遥趋剑佩春来瑞气满瑶池
辉骈宝券晋云阊推策纯常集嘏	庆衍瑶筹赢澥屋阐珍舄弈流褆
大地回春看大好河山皆成锦绣	长天吐瑞喜长恒图祚永放光华
大中国似蛟龙破雾雄心惊日月	古神州如骏马嘶风豪气壮河山
大觉世尊讲经说法阐明真谛理	九界众生法喜充满仰止沐佛恩
我佛如来见一切众生皆大欢喜	弥陀慈父建极乐世界何等庄严
修道修仙先须修身身为道之本	信佛学佛不可离心心是佛之源
千百年风雨飘摇国恨家恨尽泯	五十载沧桑变革日新月异当歌
银蛇舞江城美千帆竞发辞旧岁	黄鹤飞楚地阔万物峥嵘迎新春
桃红柳绿正三春丽日风光无限	燕舞莺歌是万顷碧空生意盎然
建立沿海特区已使东南花似锦	吹响进军号角再教西北土成金
树新风学习七一讲话与时俱进	催骏马实践三个代表跟党同行
西拜佛东拜神妇女烧香忙碌碌	着新衣戴新帽儿童拍手笑呵呵
春酒绿彩灯红围炉共话长征路	玉梅开瑞雪舞把盏齐歌大有年
振兴伟大中华道路驰骋千里马	迎接崭新世纪人民团结一条心
万马奔腾一马当先好马脱缰马	千军抖擞三军最勇神军解放军
巨龙腾飞飞越十亿神州八方土	骏马奔驰驰骋万里江山一片春
减机构裁冗员克文牍旗开得胜	凭优势调结构扬特色马到成功
天上花地上花花团锦簇亮中华	东北风西北风风来神州暖春梦
小康有望老百姓全凭三个代表	大地回春新千年更看九州风云
岁属龙龙布雨雨顺风调呈稔岁	春迎燕燕衔花花团锦簇贺新春
大龙传小龙连年奋进经天行地	老凤带雏凤尽日畅鸣悦耳清心
龙携华夏腾飞飞起玉龙三百万	蛇伴新春狂舞舞来银蛇数千条
山坡植树河岸造林青峰环绿水	街道种花社区栽草闹市荡春潮
想当日家无隔夜粮苦嫦娥奔月	看今朝柜有陈年酿香玉帝思凡
爱和平爱友谊八载艰辛圆好梦	新世纪新奥运五环旗艳映笑颜
立德立功把诚心爱心奉献社会	求实求是怀正气豪气搏击人生
万里锦绣河山靠十亿人民装点	八旬峥嵘岁月赖三代领袖导航
金龙狂舞舞腾九州华夏千般暖	骏马奔驰驰骋万里江山一片春
堂堂正正做人纵使清贫亦富贵	认认真真干事虽无壮举也英雄
亮化美化净化欣看变化展四化	家事企事国事畅谈喜事做好事
竞舞龙蛇喜看九州开放天翻地覆	争跨骐骥欢呼十载改革国富民殷
岁序更新蛇归洞府畅述辉煌成就	春风初度马跃神州喜奔锦绣前程
农村兴旺同庆丰收谷似金山棉似海		城市繁荣共迎新岁车如流水马如龙
