春来眼际	喜上眉梢
人逢盛世	岁值年华
人逢盛世	鸟唱新春
人歌四化	鸟鸣三春
人和政美	国泰民安
人和政稳	世盛邦兴
人间改岁	天下皆春
人民万岁	祖国永昌
人民伟大	政策英明
人勤春早	国泰民安
人勤春早	民富国强
人勤春早	物阜年丰
人勤物阜	国泰民安
三通国瑞	两制邦兴
三通国瑞	两制人祥
三星拱户	四柱擎天
三阳开泰	两岸连心
三阳启泰	四化兴邦
山河似锦	岁月更新
山河溢彩	岁月流金
山欢水笑	物阜民康
山青水秀	地利人和
山青水秀	国泰民安
神州巨变	世纪更新
神州巨变	祖国腾飞
十分春色	万里鹏程
时和世泰	人寿年丰
桃李争艳	春色满园
天增岁月	春满京城
同奔四化	共赏百花
同奔四化	共奉一心
同创大业	共绘鸿图
同迎盛纪	共贺新春
团结治国	实干兴邦
万方有吉	四季呈祥
万民有庆	四海皆春
万民有庆	百族共中
万事如意	四季平安
五星拔地	四柱擎天
五星永耀	四化长兴
喜辞旧岁	笑迎新春
喜登新纪	乐步锦程
小康在望	大业敢攀
心存四化	手绣三春
欣逢盛世	喜庆新年
行臻康泰	志展宏图
雄文五卷	伟业千秋
业兴来者	龙有传人
一帆风顺	四季平安
一国两制	同舟共荣
一元复始	百福骈臻
一元复始	万象更新
移风易俗	除旧布新
迎春接福	除旧布新
云霞锦绣	道路康庄
着眼四化	立足本职
自强不息	民志长生
九州日丽	四海春新
东风拂面	喜气盈门
东风入户	喜气盈门
春风得意	丽日舒怀
电灯守岁	炉火迎春
钢花赛日	马达迎春
金鸡报晓	神犬驱邪
闻鸡起舞	放犬缉私
猴扫妖氛	岁纳祯祥
猴桃献寿	鸟语迎春
龙腾虎啸	腊尽春回
丹凤来仪	金鸡报晓
猴岁呈祥	鸡年纳福
神猴辞岁	金凤迎春
雄鸡唱韵	大地回春
藏龙卧虎	人杰地灵
况逢龙岁	绝胜鹏搏
小龙辞岁	骏马迎春
六畜兴旺	五谷丰登
六畜兴旺	二气雍和
金龙述职	银蛇报春
龙飞蛇舞	燕语莺歌
丙辉瑞应	子庶丰登
丙名世德	子夜凯旋
丙年春满	子夜灯红
丙年凤仪	子夜钟鸣
丙年兴旺	子民腾欢
子年人瑞	丙岁春温
子年润泽	丙火兴隆
子孙奋发	丙火辉煌
子夜为鼠	丑时属牛
发扬高雅	歌舞升平
马驰万里	羊恋千山
羊肥马壮	国富民丰
羊迎大吉	岁纳永康
年年保险	岁岁平安
八方秀色	一室清辉
八路进宝	四方来财
长空溢彩	大地流金
春风催绿	江山映红
春光骀荡	国步龙腾
春燕剪柳	喜鹊登梅
春盈四海	花漫九州
淡泊明志	平易近人
东风解冻	春日载阳
风和日丽	鸟语花香
风清日丽	鸟语花香
福星高照	万事亨通
高歌猛进	勇往直前
国家兴旺	人民安康
国强民富	政通人和
海阔鱼跃	天高鸟飞
红梅点点	春意融融
华灯飞彩	喜爆放红
举国安定	全民团结
军民义重	雨水情深
克勤克俭	为国为民
龙飞凤舞	月满春盈
梅开五福	竹报三多
莫看人短	不恃己长
年逢大有	日过小康
勤能补拙	俭可助廉
勤能补拙	俭以养廉
勤能补拙	学可医愚
庆云兆日	芳草迎春
鹊送喜报	风传佳音
人欢马叫	春和景明
人勤春好	民富国强
人心喜暖	鸟语辞寒
三更猪去	五夜春来
三江春水	五岳青松
山清水秀	鸟语花香
诗书门第	礼义人家
树头银花	心上春光
说真心话	做老实人
四海生色	五湖呈祥
抬头见喜	举步生风
闻鸡起舞	跃马争春
五星高照	四海欢腾
心存爱国	志在为人
心上美景	窗外红梅
新春伊始	福寿即来
一家瑞气	万里春光
一年肇始	百业兴隆
一派正气	两袖清风
一堂春色	七巧良缘
英豪济济	阵势堂堂
莺歌燕舞	虎跃龙腾
蒸蒸日上	欣欣向荣
主欢客乐	近悦远来
祖国统一	台湾当归
吉日唯戊	太岁在寅
门心皆水	物我同春
安邦兴世纪	举国庆长春
安定春风畅	富强国力雄
安定千家乐	辛勤五谷香
安定清平世	祥和幸福家
安定万民喜	团结百事成
八方盈正气	四化涌春潮
白鹅游暖岸	金马啸长风
白云抱幽石	绿竹媚清涟
百川赴东海	众星拱北辰
百花春气象	万树绿云烟
百花开锦绣	万马起云烟
百花开田野	双燕入农家
百年推甲子	福地在春申
百年新世纪	万里好河山
百鸟鸣春意	五星灿国门
百业农为本	万灵猴占先
百业农为首	千行银作根
百业兴旺日	五谷丰登时
爆竹传吉语	腊梅报新春
爆竹传吉语	腊梅吐幽香
爆竹传笑语	腊梅吐幽香
爆竹声声脆	梅花朵朵红
爆竹欣祝福	银蛇喜迎春
笔耕桃李茂	德育子孙贤
笔绘丰收景	笙歌幸福年
笔落惊风雨	诗成泣鬼神
碧水流新韵	青山笼彩霞
碧血催桃李	丹心育栋梁
碧野青蛙叫	黄山松鼠鸣
丙辉觇瑞应	子庶庆丰登
丙辉腾瑞气	子庶乐丰年
波平两岸近	月朗一家亲
伯乐荐骏马	良师育良才
不贪明赤胆	寡欲见清心
布谷迎春叫	牵牛接福来
财如春水发	喜似雪花飘
财源千里广	德誉万年长
财源通四海	春色满人间
彩蝶凌空舞	鲜花应时开
彩云笼碧岫	丽日映清波
彩云捧旭日	朝霞染红梅
残云随雪逝	美景应春来
苍松随岁古	绿竹与年新
苍松随岁古	子鼠与年新
草发黄牛乐	春新紫燕歌
草枯鹰眼疾	霜尽马蹄轻
草绿黄牛卧	松青白鹤栖
草暖青牛卧	松高白鹤眠
茶花知暖意	芳草见春心
蟾宫降玉兔	庭院绽红梅
福满勤劳第	春临和睦家
福气凝门户	春光入画图
福随新岁至	运伴好年红
福同时共彩	人并物皆春
富贵三春景	平安两字金
富进勤劳户	福临和睦家
富临勤俭户	春绿文明村
富随科技户	春爱勤劳家
富随科技户	福伴文明家
富裕勤中出	清廉俭里来
富自勤民出	廉当俭里求
改革春潮涌	创收喜讯传
改革铺富路	开放上新阶
改革强邦路	升平治国基
改革生新瑞	迎春歌治平
改革兴伟业	开放展雄风
改革英雄业	勤劳幸福家
干劲惊日月	奇志壮河山
钢花喷四海	铁水流九州
高歌庆新岁	强音颂早春
高歌新世纪	大庆小康年
高崖伏虎啸	茅庐卧龙飞
革命千秋业	江山万代红
耕田能获宝	养兔不守株
功期四化日	众望一统时
共和三尺剑	光复一戎衣
共莺传捷报	赤兔踏春光
共祝升平日	同沾大有年
孤村芳草远	斜日杏花飞
古韵江山赋	新春世纪风
故国山河秀	龙年世纪新
故岁今宵尽	新年明旦来
关心下一代	盛意播千秋
观国庆盛典	写世纪宏篇
观海知心远	登山觉眼明
官廉千姓福	风正万年春
官清民乐业	家富国增辉
官正民心顺	风清社稷安
光风千日暖	丽景百花妍
光辉盈世纪	春色满神州
国安民有福	民富国无忧
国登强盛境	民过幸福年
国登强盛境	人过富裕年
国登强盛境	民奉赤诚心
国富金瓯固	民安玉镜圆
国富千邦敬	家和万事兴
国富千秋泰	龙腾万事兴
国富千山秀	家和万事兴
国富山河壮	人勤岁月新
国富声威远	家和福气多
花沐春雨艳	福依党恩生
花随春意发	富自政通来
花香春正好	燕语日初长
花香丰稔岁	燕舞吉祥图
花香能醉蝶	柳色欲迷莺
花香招鸟语	马跃起龙图
花笑熏风暖	鸟歌盛世新
花馨招蝶舞	国瑞引龙腾
花应新春放	鸟为盛世歌
花迎春日艳	民浴党恩深
花迎红日放	心盼彩云归
花迎红日放	心向北京歌
花绽春光谱	马驰中国风
华堂来紫燕	乔木倚青云
华文春日丽	瑞色紫云高
华夏开新纪	英才展壮猷
华夏山川秀	新春气象殊
华夏山河壮	人民岁月长
华夏腾飞日	黎民富裕时
华章歌盛世	红对庆新春
化雨千山果	和风万树花
欢度九州节	讴歌四海春
欢度新春节	高歌小放牛
欢歌遍华夏	春色满神州
欢歌飘四海	妙舞颂三春
欢歌盈大地	笑语满神州
欢歌盈大地	春意满神州
黄金新岁月	锦绣好前程
黄牛耕碧野	白首乐红楼
黄牛耕九野	白马战疆场
黄牛耕绿野	猛虎啸青山
黄牛耕沃野	紫气笼新春
黄山松鼠跳	绿野早春归
黄山松鼠跳	子夜阳春来
黄莺歌红梅	紫燕舞翠柳
黄莺鸣翠柳	金鼠恋苍松
黄莺鸣翠柳	紫燕剪春风
黄莺啼暖树	紫燕衔新泥
会心传喜事	迎面笑春风
鸡催千里晓	春启万家门
鸡催万里晓	春启千家门
鸡鸣天放晓	政改地回春
鸡鸣万户晓	鹤舞一年春
鸡声窗前月	人笑福里春
鸡声催晓读	鸟语唤春耕
鸡声天下曙	春意海南潮
吉门沾泰早	和里得春多
佳节家家乐	新春处处欢
佳节吟妙对	盛世赋新联
佳联歌盛世	瑞雪兆丰年
佳联歌四化	妙对颂群英
佳联歌幸福	美酒庆团圆
家和万事顺	春暖百花香
家家养猪宝	户户发羊财
家建文明户	寨追模范村
家睦迎春早	楼高得月先
家室百年乐	江山万代春
家迎千事喜	门对一园春
嘉会芳林苑	高歌翰墨流
建功光胜纪	创业谱新章
建文明盛世	谱幸福新歌
江河霜练净	峰峦玉堆高
江山澄气象	冰雪净聪明
江山澄气象	事业现风流
江山多俊秀	时代更风流
江山放异彩	日月生新辉
江山飞丽藻	花柳发韶光
江山开胜景	人物倍风流
江山留胜意	杨柳荟卿云
江山披锦绣	事业铸辉煌
江山千古画	世纪百年春
江山千古秀	花木四时新
江山千古秀	华夏万年春
江山千古秀	花木四时春
江山千古秀	祖国万年春
江山千古秀	日月一时新
江山千古秀	大地万年青
江山千古秀	天地一家春
江山千载美	祖国万年春
江山荣秀色	大地发春晖
江山如有待	春色总无私
江山添秀色	大地换新颜
江山添秀色	大地发春华
江山万年固	天地一家春
江山无限好	祖国万里春
江山欲揽胜	梅柳笑迎春
江山增润色	桃李艳春光
江山增润色	祖国普春光
江山增秀色	大地换新装
将军爱战马	农夫喜黄牛
脚踏小康路	胸怀大市场
教为百年计	师受万代尊
教育呈新貌	园丁育好苗
阶前生百福	檐下纳千祥
节日人共乐	神州地皆春
借得山川秀	迎来世纪新
金猴方启岁	绿柳又催春
金鸡歌国泰	义犬报民安
金鸡交好卷	黄犬送佳音
金鸡日独立	紫燕春双飞
金鸡迎曙色	玉兔揽春光
金鸡争唱晓	玉兔喜迎春
金菊凌霜放	红梅傲雪开
金缕春溢彩	玉雕雪迎祥
金马辞旧岁	银羊贺新春
金蟒穿云去	紫骝踏雪来
金牛奔盛世	紫燕舞新春
金蛇送冬去	骏马报春来
金蛇祥万里	骏马端千家
锦绣江山画	风流世纪春
锦绣山河美	光辉天地春
锦绣山河美	光辉大地春
锦绣山河壮	缤纷春色娇
经商须诚信	从政必清廉
旌旗飘玉宇	箫鼓庆新春
旌旗扬特色	华夏展宏图
精耕禾吐秀	细作土生金
精微慈母意	严谨铁面师
九陌连灯影	千门庆月华
九天鸿鹄奋	四化巨龙腾
九天腾丽日	四野沐春风
九天悬丽日	七彩耀神州
九霄悬丽日	八骏跃雄程
九野春光好	八方气象新
九域歌国泰	八方颂党恩
九域迎旭日	八方庆新春
九州春风暖	四化伟业新
九州春日丽	七月彩云归
九州春色好	四化热潮高
九州春意闹	四化宏图开
九州春意闹	四海宏图开
九州大治景	万户小康图
九州逢春绿	百业开门红
九州歌改革	四海庆升平
九州歌盛世	四海颂升平
九州歌四化	十亿庆三春
九州归一统	两岸共千春
九州花似锦	五岭诗如云
九州花似锦	十亿面皆春
九州辉特色	五岳壮奇观
九州江山美	两制政策新
九州开骏业	四海起祥云
九州开泰运	万福启春华
九州来春色	四化绘新图
九州龙气概	万众马精神
九州期富裕	八面庆繁荣
九州期一统	六合庆双归
九州清平乐	四方正气歌
九州庆大治	万户乐小康
九州腾瑞气	七曜发祥光
九州添胜景	三峡出平湖
九州同一脉	两岸共千秋
九州欣瑞彩	百姓乐升平
九州兴特色	六合荡春风
九州兴特色	万众沐春晖
九州兴特色	四化奋鹏程
九州兴特色	十五展宏猷
九州扬正气	三讲荡清风
九州扬正气	七彩绘蓝图
九州盈瑞气	万户沐春风
九州盈喜气	六合洽春风
九州尊知识	四化重人才
酒绿千家醉	灯红万户春
酒热诗歌壮	梅红天地新
酒饮千家福	歌唱满江红
旧年除旧俗	新岁启新知
旧年除旧岁	新年启新知
举杯歌幸福	向党报恩情
举国援西部	全民仰北京
举旗驰大道	随党越雄关
举头闻鹊喜	开户见春来
军旗飘盛世	精兵振国威
君作玉鞭赋	我吟金棒诗
骏马奔千里	吉羊进万家
骏马春常在	吉羊福又添
骏马归山野	灵羊爱草原
骏马生双翼	鸿图壮九州
骏马腾远志	灵羊壮新风
开放财源广	公平信誉高
开放创奇迹	改革建大功
开怀迎世纪	举臂揽春风
开门闻喜讯	举步见春光
开时代列车	当四化标兵
开心跟党走	得意踏春行
凯歌辞旧岁	骏马迎新春
凯歌送旧岁	骏马迎新春
凯歌迎世纪	翰墨写春秋
凯歌盈大地	春光满神州
看江山如画	喜世纪皆春
科学铺富路	廉政架金桥
科学铺富路	政策架金桥
客岁送金鼠	今年买铁牛
跨峥嵘岁月	奔锦绣前程
葵花开向日	酒圣欲冲天
鲲鹏飞玉宇	骐骥跃神州
腊鼓催青骏	春风策紫骝
腊鼓催穷去	金狮送富来
腊鼓催神骏	春风送吉羊
腊梅辞旧岁	春信报吉祥
腊梅千门秀	春雨二月花
腊月初临福	新年又报祥
雷鸣龙起蛰	泥暖燕含春
礼言改正朔	书曰作新民
理财须勤俭	为政必清廉
醴泉喷宇宙	甘露洒神州
历尽严冬冷	更知春日和
立马昆仑小	腾龙世纪新
立马千山矮	迎春万木荣
丽日当空照	春风扑面来
丽日沐华夏	惠政润神州
帘抖三冬雪	窗含万里春
帘外生紫气	阶前度春风
联写迎春语	诗题献岁词
廉风昌国运	善政悦民心
廉风清大地	正气振中华
廉风清玉宇	特色灿金瓯
廉风昭玉局	正气壮金瓯
炼钢为四化	创业炳千秋
良辰逢雪霁	瑞气霭春晖
两制圆玉璧	一统固金瓯
邻睦风亦暖	家和雪自香
林海春光好	雪原气象新
林有鸣心鸟	园多夺目花
岭上梅花艳	楼前曙色明
柳绿春江月	旗红骏马图
柳绿三春丽	梅红小院香
柳塘春水慢	花坞夕阳迟
柳絮随风去	桃花逐水来
柳眼凝眉绿	桃腮映面红
柳营晨试马	虎帐夜谈兵
柳枝揉雨绿	杏蕊闹春红
六合同春日	三阳开泰时
龙飞欣晓日	马到庆丰功
龙人歌盛世	鸟语话丰年
龙人臻万福	骏业炳千秋
龙蛇归大海	鲲鹏震九霄
龙腾翻巨浪	虎啸动春雷
龙腾丰稔岁	蛇舞吉庆年
龙腾吉祥到	马跃欢乐多
龙腾九万里	国步二千年
龙引千江水	虎越万重山
楼阁春光好	江山曙色新
楼观沧海日	帘卷泰山云
楼览江山景	门迎世纪春
楼台春日丽	世纪画图新
绿柳迎春舞	红花应节开
绿水闲润柳	春风漫拂花
绿野春风荡	紫薇燕子飞
绿叶扶花好	青春为国雄
绿意随春妙	豪情逐浪高
马辟长安道	羊开大吉春
马步康庄道	羊奔锦绣程
马驰昌盛路	羊报吉祥音
马驰金世界	羊唤玉乾坤
马带祥云去	羊挟惠风来
马带祥云去	羊铺锦绣来
马革酬壮志	羊碑纪丰功
马季催季马	牛群牧群牛
马留英雄气	羊会世纪风
马年腾大步	羊岁展宏图
马去雄风在	羊来福气生
马首开新纪	羊肠拓锦途
马嘶飞雪里	羊舞画图中
马岁荣华到	羊年富贵来
马踏春锦绣	莺歌世风流
马腾风雪舞	春到杏花红
马腾改革路	国展富强图
马蹄留胜迹	羊毫谱新歌
马蹄留胜迹	羊角搏青云
马蹄腾瑞雪	羊角触红梅
马拓康庄道	羊挟惠风来
马拓康庄道	羊铺锦绣云
马啸关山月	莺歌杨柳春
马有知途德	羊存跪乳恩
马跃康庄道	人迎幸福春
马跃庆丰年	羊鸣歌盛世
马跃阳关道	春回杨柳枝
马载祥云去	羊携惠雨来
马壮雄风在	羊临浩气生
满门辉德泽	举国倡文明
满门增瑞霭	阖家建文明
满山红叶落	何日彩云归
满眼春风绿	盈门喜气浓
满园芳草绿	万户春联红
满院春色好	一树梅花香
满院梅花好	一堂春色妍
卯门生喜气	兔岁报新春
卯门生紫气	兔岁报新春
梅报三春信	人迎四化风
梅花含白玉	柳色吐黄金
梅花开五福	竹叶报三多
梅花开五福	竹叶报三春
梅花飘香雪	杨柳荡轻烟
梅花喜瑞雪	芳草迎春晖
梅花迎瑞雪	芳草映春晖
梅开透春信	雪化见松贞
梅柳谈天好	燕莺语地新
梅香催腊去	燕翅携春来
梅香浮朗月	柳浪戏春风
梅心浴曙色	柳眼望春光
梅馨春意远	鹊韵福音长
梅绽香风远	柳摇春意浓
门含千山秀	楼览万里春
门阑生喜气	世纪足春光
门庭多喜气	山水遍春光
门庭千载福	世纪万方新
门外山河美	庭前草木新
密林藏伏虎	萝峰染晴云
妙手医百疾	红心为万家
民安由政善	家富赖人勤
民奔小康路	国臻大治年
民富九州乐	国强五岳高
民勤国致富	风正党增光
民心扶社稷	法治定乾坤
民心融四化	国策炳千秋
民殷思报国	岁稔喜迎春
民展凌云志	国开康盛年
民主春风劲	长征战鼓催
鸣莺传燕信	策马赴羊年
莫醉成功酒	愿加跃进油
南疆堆春色	西部叠彩霞
嫩柳千姿秀	腊梅万朵妍
嫩柳千姿秀	悄梅万态新
年丰人福寿	世盛景妖娆
年丰人增寿	春早福满门
年画年年画	对联对对联
年年歌大有	岁岁颂新康
鸟语传春意	花香透世情
鸟语喧花果	猴声啼水帘
鸟啭新年颂	花开盛世春
牛背飘春曲	鹊舌报福音
牛耕芳草地	鹊报吉祥年
牛耕千野绿	鹊闹一庭春
牛开丰稔景	燕舞艳阳天
牛铃飘翠岭	燕语暖春风
牛舞丰收岁	鸟鸣幸福春
暖日芳心吐	东风柳眼舒
讴歌焦裕禄	演唱孔繁森
蟠桃千岁果	温树四时花
盼河山一统	迎港澳双归
炮竹舞花彩	锣鼓谱佳音
凭智能创业	靠信息生财
屏开金孔雀	彩映锦华堂
破除旧习惯	表现新精神
破千年旧俗	立一代新风
普天歌盛世	举国颂廉风
普天开景运	大地沐春晖
普天开远景	大地转新机
普天开远景	大地焕新风
曝竹花万点	春雷惊三春
齐书创业史	共绘四化图
齐心奔富路	协力奋雄程
齐心奔富路	协力建家园
奇对天下事	妙联世间情
旗唯红色艳	月是故乡明
旗展千花笑	春来万马奔
旗展五星映	梅开四方香
气若春风净	心如秋水明
气正江山秀	风清世纪新
气正山河壮	春明雨露勤
千户迎晓日	四化荡春风
千家春不夜	万里月长明
千家春不夜	万里月连宵
千家春酒绿	万户对联红
千家春酒绿	万里稻花香
千家歌德政	万户沐春晖
千家歌盛世	万户乐新春
千家皆春色	五谷呈丰年
千家迎新岁	万户庆丰年
千门杨柳绿	万户梅花红
千门迎晓日	四化趁春风
千山飞彩凤	四海跃金鳞
千山花烂漫	百族舞翩跹
千山披翠绿	万里尽朝晖
千祥迎九域	万众夺三番
牵牛花报喜	布谷鸟催春
前光增百福	后裕纳千祥
乾坤风雷荡	中华日月新
乾坤浮正气	世纪会春风
勤俭千载富	和睦一家春
勤俭穷变富	苦干土成金
勤劳方致富	和睦可生财
勤劳活百岁	节俭富千秋
勤劳家家富	节俭年年丰
勤劳能致富	自学可成才
勤劳能致富	和睦可生财
勤劳能致富	安定可兴邦
勤劳能致富	科技可兴邦
勤劳千事顺	信用万年馨
勤劳携福至	科技引财来
勤是摇钱树	俭为聚宝盆
勤为摇钱树	俭是聚宝盆
勤政廉为首	爱民德乃先
青春光日月	赤帜映乾坤
青春献祖国	世纪属人民
青山多画意	春雨润诗情
青山披锦绣	绿水溢春华
青山披锦绣	绿水泛春光
青山添秀色	碧海泛春潮
轻烟芳草地	微雨杏花村
清风迎盛世	旭日耀新春
清廉昌世纪	正气壮神州
清廉从政事	勤俭树家风
清廉宜治国	勤俭益发家
清溪吟雅韵	皓月洒春晖
清音歌盛世	妙笔著华章
清音歌盛世	美酒贺新年
情随飞雪舞	诗伴落梅吟
晴点龙飞去	珠还蛇舞来
擎旗弘大业	斟酒擎英雄
擎旗尊马列	荷戟保江山
庆洽时方至	春来日渐长
庆三春佳节	展四化宏图
庆三阳开泰	喜万象更新
庆三阳开泰	贺万象更新
庆新春肇始	祝大业终成
庆一元肇始	祝四化图新
庆云飞五色	瑞气绕三台
曲奏强国调	歌吟富民诗
祛邪方扶正	除暴为安良
全民歌善政	举国庆升平
全民歌盛世	举国庆新春
全民扬正气	举国颂清平
全民扬正气	举国扫歪风
全心关国事	两手建文明
犬守平安日	梅开如意春
鹊语红梅放	鼠年喜气浓
群星瞻北斗	万马啸东风
群英奔四化	大地绘三春
人催千里马	国展五星旗
人逢如意事	牛舞艳阳春
人歌新世纪	燕舞好春光
人和春永驻	政稳世清平
人欢为体健	鼠硕因年丰
人间春尽染	天下乐相融
人间春尽染	天下乐相容
人间多美景	大地足春光
人间万象转	天地一家春
人民奔四化	祖国贺万年
人民歌大治	祖国庆长安
人民歌永泰	祖国庆长春
人勤春光美	家和喜事多
人勤春来早	谷满月更圆
人勤春来早	草发牛更肥
人勤春来早	政好岁时丰
人勤春永驻	法治国长兴
人勤春永驻	法治世长安
人勤春早至	国富农先行
人勤家业旺	国治民气高
人勤家致富	世盛国长春
长歌遍华夏	春风满神州
长虹七彩锦	盛世九州春
长空盈瑞气	大地遍春光
长天飞捷报	特色壮神州
长治久安日	小康大有年
长中华志气	览世纪春光
常鼓兴邦志	永怀报国心
敞怀谈改革	奋力建文明
朝曙江山丽	春辉世纪新
朝霞映红日	新雨润春蕾
朝阳澄玉宇	壮志化宏图
车行万里路	人歌四化功
承恩占沆瀣	接武引星辰
承千年学识	教一代新人
城阙千门晓	河山万簇春
城乡千户晓	河海万方春
