铁	煤
雪茫茫	雨霏霏
三月昏	参星夕
金盏草	玉簪花
王孙草	帝女花
水镜草	金钱花
鹦鹉菜	鹭鸶藤
千岁虆	万年藤
倚待草	徘徊花
妒妇草	慈姑花
金丝草	锦带花
腊梅花	香椿树
鹅毛菊	马尾松
三春柳	九节兰
金星草	玉雨花
小南强	大北胜
牛心柿	雀舌茶
美人草	贵妃棠
宜男草	侍女花
狗耳草	鸡冠花
竹鸡草	金雀花
忘忧草	含笑花
鸠唤雨	蝶翻风
八角鹿	五爪龙
五脚猫	四眼狗
白毛龟	黄尾犬
千里马	九霄鹏
单牌楼	双塔寺
千秋恨	十日谈
愚公谷	妒妇津
云母石	雷公山
妒妇津	贞女峡
乌衣巷	紫帽山
不夜城	无雷国
八公山	三姑石
三妒石	五老峰
唐伯虎	张季鹰
鹦鹉洲	鸬鹚埠
逍遥馆	安乐窝
臭水塘	香山寺
太平庄	安乐里
连理枝	并蒂莲
银剪燕	玉梭鱼
鸡唱晓	鸟鸣春
黑风帕	绿云衣
朱砂痣	蝴蝶杯
乾坤带	宇宙风
滚红灯	卖青灰
连环套	双锁山
贪欢报	得意缘
麒麟阁	翡翠园
错错错	飞飞飞
摇钱树	打金枝
雄黄阵	牡丹亭
葵花峪	柳林池
闹天宫	游地府
鱼肠剑	牛头山
采花案	浣花溪
春秋配	文武魁
风云会	日月图
春秋配	南北和
风云会	人兽关
乌龙院	白蟒山
乌龙院	白虎堂
大登殿	小上坟
三角形	二商象
鹦鹉嘴	葡萄牙
五羊皮	四马革
笔永健	艺常青
灯笼草	火把花
蜜蜂草	蝴蝶花
铁脚板	硬骨头
瞎捣蛋	乱弹琴
鬓虽残	心未死
俞通海	殷开山
斗鸡眼	吹牛皮
鬼门关	神户港
中南海	上西天
流水线	滚雪球
西游记	南联盟
马头琴	鱼肠剑
哭祖庙	吧皇灵
拾玉镯	对银杯
林风竹	柳月笙
郭有道	王无功
陆云士	黄雨民
李桐客	郭药师
刘剑胆	朱琴心
李栖凤	叶衍兰
五人义	一念差
奶子府	勇士营
鱼肠屿	虎须滩
夏辛酉	楚子庚
叶玉虎	苟金龙
谢白面	陆素心
石贞石	金吉金
洪羊洞	恶虎村
大回朝	小逛庙
孙行者	李默然
杨杏佛	李芋仙
关盼盼	柳依依
叶南雪	林北云
陈惊座	赵倚楼
五指山	三牙洞
马麟善	羊雅仁
君子竹	大夫松
西门豹	东方虬
严白虎	祁黄羊
临川梦	空谷香
一捧雪	四弦秋
子午谷	丁甲山
五花洞	百草山
龙须柏	凤尾草
象棋饼	骨牌糕
回雁峰	斗鸡巷
麒麟客	马鸿宾
愚愚子	嚣嚣生
乔百一	沈万三
独木关	单刀会
气英布	占花魁
盛百二	沈万三
李八骏	雷一龙
事亲孝	交友仁
五老会	四美图
大保国	小过年
连心线	吃面条
杨杏佛	李篁仙
程十发	李二心
孤竹君	赤松子
喀喀木	浊浊浑
三上轿	二进宫
卓锡泉	醒酒石
独角戏	一言堂
文章树	锦绣根
火焰草	金灯花
黄龙江	白鹿洞
逡巡酱	陆续丸
睡公主	飞将军
李公麟	唐伯虎
花蝴蝶	玉麒麟
顶花砖	滚钉板
程不识	魏无知
玉光传	铁血痕
金钱豹	玉夔龙
黑水国	黄金台
青纱帐	白罗衫
金鳌岛	白虎堂
五虎棍	九龙杯
拾万金	五百两
桃花扇	燕子笺
羊肚菌	龙涎香
川贝母	山慈姑
大锅饭	小算盘
三尺箓	一寸香
笑面虎	野心狼
桐梓县	茶陵州
睢雄剑	子母钱
敢干赶	严研验
一刀切	三斧头
凤凰劫	鹦鹉缘
好妹妹	鬼哥哥
齐谐记	越绝书
张九思	胡三省
琼林宴	玉堂春
花田错	草桥关
龙胆草	鹰爪莲
糟糠氏	婆娑儿
红芍药	绿菖蒲
顾野王	沈石田
黄梅县	黑盐亭
红娘子	白头翁
和事草	合欢花
柳成絮	鱼化龙
夏枯草	冬青花
大头马	小脚鞋
小白脸	大红火
张恨水	戴爱莲
花之寺	蕙的风
马兰花	人麻木
包二奶	杜十娘
藏万宝	敬一丹
铡美案	祝英台
旧书店	老本行
讲大话	看小说
装孙子	容祖儿
执牛耳	拔虎牙
难出对	易建联
烧热炕	爆冷门
走错路	立交桥
洗发水	枕头风
割马草	牵牛花
逛超市	走过场
单行道	全聚德
青莲社	白菜帮
当头炮	绊脚石
孟姜女	孔方兄
冒失鬼	糊涂官
找岔子	触霉头
珍珠酒	琥珀糖
蔡兴宗	崔慰祖
茶花女	桔英男
碰头酒	闭门羹
迷魂阵	害人精
百合粉	五灵脂
牧羊圈	落马湖
忠保国	孝感天
王十朋	陆万友
郑虎臣	沈麟士
籁皮狗	草鸡毛
柳三变	张九成
邵力子	郁达夫
钓金龟	盗御马
鸳鸯楼	蚆蜡庙
燕色马	虎斑猫
刮胡子	剃光头
马齿苋	鸡冠花
紫金锭	黑锡丹
张恶子	郑善夫
陆万友	王十朋
张千载	陈万年
韩擒虎	李攀龙
何无忌	真不疑
王鹦鹉	郑鹧鸪
胡三省	张九思
刘黑闼	寇白门
公孙丑	母弟辰
马蹄露	羊角风
流星锤	偃月刀
吃干饭	和稀泥
双簧戏	单相思
乾坤圈	混天绫
宣化斧	沥泉枪
赶山鞭	定海珠
狼牙棒	牛耳刀
少林棍	武当剑
孙子小	众人从
猪北窦	蔡西湾
闻一多	钱三强
西门豹	南宫牛
胜不骄	败休馁
开心果	闭门羹
雷音寺	电话亭
高胜美	上好佳
独生子	特种兵
独角兽	比目鱼
孙行者	胡适之
孙行者	祖冲之
盼君来	希尔顿
狼来了	马绍尔
安乐死	批康生
美人计	好地方
摘果子	探花郎
摘果子	调皮人
抱赤日	吻青天
自然美	史鉴珍
名鼎鼎	马萧萧
杨大异	郑小同
继往圣	开来学
快滚！	善哉！
求诸己	老复丁
牛皮菜	马齿苋
三生饮	六神丸
春争日	夏争时
芳池月映	故宅风存
巨人风范	赤子情怀
贤君可友	义士能交
高堂邃宇	萝阿拂壁
恒守正念	常行大悲
聚沙为塔	滴水成河
多勤寡欲	益寿延年
水翻鸭绿	山叠螺青
民族英雄	虽死犹生
光阴似箭	日月如梭
庆父不死	鲁难未已
财源若海	顾客盈门
春秋鼎盛	楚汉硝烟
菊花淡雅	桂雨清凉
卫青英武	海瑞精神
元帅之冠	老农之心
盖草枕石	饮露餐风
门庭多福	日月重光
莺迁仁里	燕贺德邻
留芳百世	遗爱千秋
大千世界	不二法门
入诸佛位	至涅槃城
受出家戒	发菩提心
有条有理	无法无天
亲师取友	敬业乐群
良辰安宅	吉日迁居
祥光西起	紫气东来
德传百世	名耿千秋
竹苞松茂	业乐居安
人间佛地	世外人家
浮云富贵	粪土王侯
南来北往	夜宿晓行
越王宝剑	孙子兵书
天下有道	国家将兴
穷不失义	富而无骄
院有锦绣	家藏经纶
月明如昼	色即是空
君行且止	宾至如归
童子何知	大人利见
到清凉景	生欢喜心
行文明礼	结自由婚
君子好遁	弥勒同龛
防微杜渐	遗大投艰
以身作则	与德为邻
千年国粹	一代儒宗
如松如鹤	多寿多福
甜以思苦	乐不忘忧
定而能静	海不扬波
金毛狗肾	玉尾蟾酥
见机而作	入土为安
山随画活	云为诗留
经纶天下	衣被群生
诗情画意	琴韵书声
祥云浮栋	春色镀梁
金柳摇翠	玉树摆枝
山奔海立	沙起雷行
交忠朝廷	因赐百姓
月光皎洁	银烛辉煌
一言九鼎	允诺千金
指点江山	激扬文字
芝兰气味	湖海襟怀
友天下士	读古今书
人修俊德	开赐鸿禧
斧藻其德	竹柏之怀
罔谈彼短	靡持己长
楚辞汉赋	夏鼎周钟
文悬日月	庭列钟彝
持松作寿	与鹤同侪
松苍柏翠	人寿年丰
庭宇有福	华堂聚和
卧游五岳	坐拥百城
振兴百业	云集万民
意料之外	情理之中
人增高寿	天转阳和
背邙面洛	斩凶除奸
梅英尽落	柳眼初开
萃集百货	丰盈八方
万年福地	一品名山
长康永乐	共济同昌
山以石峻	海为川归
虚心为竹	清节而秋
天行不息	圆梦可期
臣心如水	王道犹龙
以父作马	望子成龙
庭绕瑞气	院生福音
後而好学	乐以忘忧
重重迭迭	弯弯曲曲
图文并茂	形象逼真
恩来立志	马到成功
乃武归天	斯文扫地
资治通鉴	物理透镜
闽香玉女	吴会星郎
卢橘夏熟	桂树冬荣
仁民爱物	求实升华
明察秋毫	饱览春光
高朋时至	老店正兴
水天一色	风月无边
藏形匿影	显姓扬名
往生极乐	超脱红尘
无物不照	有色皆空
绿头公子	红冠丈人
云母开屏	水心铸镜
造林涵水	固土生金
白虹贯日	金鸡纳霜
有意破宗	无心宁国
驿寄梅花	鱼传尺素
天欲飞霜	云将作雨
驱除鞑虏	复兴中华
物华焕彩	天宝呈祥
三娘教子	四郎探母
蓝田种玉	红叶题诗
聚蓄百药	平康兆民
成事不足	败事有余
百花含蕾	千枝泛翠
声声色色	本本原原
读有字书	识没字理
偏听则暗	兼听则明
沙鸥翔集	锦鳞游泳
兴办自我	利归于民
芝荣五色	图献九如
修身为本	无欲则刚
鸳鸯比翼	龙凤呈祥
晓之以理	动之以情
近朱者赤	近墨者黑
长沙赋鵩	太白骑鲸
百年好合	五世其昌
拳不离手	歌不离口
叶多花蔽	云破月来
维善为宝	无欲则刚
天与厥福	和睦久昌
人同此心	心同此理
一芽知春	一叶知秋
读圣贤书	行仁义事
存忠孝心	立修齐志
天开化宇	人在春台
偶尔中耳	几乎败壶
帝出乎震	人生于寅
乌喙将军	长髯主簿
论贡行上	以礼扶人
江山有姓	文章无主
宽人三尺	利己一丈
披甲为戌	付丙识丁
富士胶卷	贫僧糊涂
一灯如豆	四海若霞
三朝阁老	九省疆臣
培栽后进	远继先芬
松寿千岁	桂馨一山
天帱地载	山高水长
罗通扫北	狄青征西
采花赶府	搜诏逼宫
春香闹学	秋胡还家
草船借箭	辕门射戟
好花半开	美酒微醺
人澹似菊	品逸于梅
可取以准	勿失其时
水流云在	雨到风来
乾坤交泰	琴瑟和谐
飞鸟出林	惊蛇入草
清风明月	苍松怪石
乱石穿空	惊涛拍岸
明月如霜	好风似水
英雄气短	儿女情长
十里荷红	三秋桂香
长烟一空	浩月千里
匠心独运	着手成春
名高北斗	寿以人樽
生无媚骨	死留芳名
恩泽四海	功高九天
求我庶士	宜其人家
枕头枕枕	踏脚踏踏
水车车水	火钳钳火
缘定三生	情归四韵
百花吐艳	万木争荣
今上玉音	章皇天语
经营大厦	建造高楼
一天星斗	万里江山
以其昏昏	使人昭昭
名高北斗	寿比南山
柴多火旺	水涨船高
画饼充饥	望梅止渴
榜上无名	脚下有路
动静相宜	虚实相生
老龙听法	顽石点头
同观日落	异想天开
洙源萃秀	泰岳钟灵
名重洛阳	品重郯溪
天来头顶	路在口边
明枪易躲	暗箭难防
逢源会委	勇智宏辩
云间天上	顶上园光
清清洁洁	龌龌龊龊
经纶天下	衣被苍生
和平昌乐	吉安泰顺
登高极目	览水送归
雾失楼台	月迷津渡
苦读有恒	好学无时
此志得舒	为民舍予
燕山磊落	夜话千秋
千峰竟秀	万壑争流
一言九鼎	只字千钧
诗题红叶	彩耀青鸾
苍山如海	残阳如雪
鱼名弹瑟	鸟唤提壶
福如东海	寿比南山
金玉其外	败絮其中
十月怀胎	一朝分娩
风雨齐猛	水火无情
调和五味	福利万民
寿比南山	福如东海
棋逢敌手	将遇良才
德为世重	寿以人尊
凤麟起舞	奎壁联辉
上上下下	短短长长
得道多助	失道寡助
浊者自浊	清者自清
搏沙成器	范土为窑
形佳状彩	外秀中坚
昌明德载	价实货真
四方来宝	八路进财
前世典范	后人楷模
德配天地	道冠古今
北通凤阙	南接龙潭
青牛西渡	紫气东来
摆龙门阵	抽鸦片烟
快活公子	邋遢婆娘
踏梯望月	坐井观天
就汤下面	借风过河
咦着邪哩	囔见鬼么
骑骡擂鼓	对牛弹琴
酒肉兄弟	柴米夫妻
栽罗汉竹	放霸王鞭
挑水湿脚	引火烧身
生红头发	唱黑脑壳
客不送客	亲上加亲
乾上龙尾	坎下驴头
鸦片烟鬼	燕窝糖精
额拉和布	腰系战裙
椿萱并茂	庚婺同明
鸿图大展	裕业有孚
云山风度	松柏气节
白头偕老	同道永春
花开并蒂	缘结同心
爱民若子	执法如山
秦琼卖马	时迁偷鸡
得三隅法	是一转机
烹调有术	饮食长宜
瑞霭佳地	福蕴新居
华堂昼永	乔木春深
地灵人杰	天宝物华
燕贺新禧	莺歌阳春
千秋忠烈	百世遗芳
书生脚短	天子门高
停画百日	戒酒三春
云山风度	松柏精神
千峰凝翠	万峦吐霞
月明金屋	香喷玉屏
安居乐业	丰衣足食
闭门种菜	开阁延宾
功盖天下	誉满山河
烟迷远水	雾锁深山
千里冰封	万里雪飘
革命伴侣	幸福家庭
修修补补	喜喜欢欢
天机活泼	大块文章
伐柯不远	采矿无忧
春潮溢彩	煤海增光
深山献宝	大地喷油
地中油海	世上明灯
迹搜秦汉	法备晋唐
静为绿水	闹是酒家
修其天爵	教以人伦
礼门义路	仁里德邻
竹外山影	花间水香
人勤春草	草发畜肥
禹鼎汤盘	隋珠和璧
一堂珍品	千古奇观
勾颈葫芦	空心萝卜
琳琅满目	买卖称心
十分春意	满店热情
凤凰鸣矣	琴瑟友之
云开五彩	户拱三星
珠联壁合	凤翥鸾翔
量入为出	有去无来
一毛不拔	孤掌难鸣
名利两得	富贵双全
前后矛盾	公私分清
穷斯滥矣	乐莫大焉
暗无天日	寥若晨星
言归正传	文不对题
鱼龙混杂	鹬蚌相争
高人一等	入木三分
江山易改	本性难移
为时过早	未回来临
靠天吃饭	坐地分赃
因祸得福	弄假成真
闹中取乐	死里逃生
献苦肉计	烧断头香
过目不忘	出口成章
吹毛求疵	剜肉补疮
挑肥拣瘦	将高就低
引蛇出洞	调虎离山
当仁不让	见义勇为
言过其实	话不投机
红颜落命	白手成家
人言可畏	自命不凡
五官不正	一意孤行
斩头去尾	磨嘴废牙
轻车熟路	快马加鞭
心神不定	面目全非
鳏寡孤独	老弱病残
看菜吃饭	量体裁衣
至亲好友	孝子贤孙
心里有鬼	目中无人
负荆清罪	割地求和
卑躬屈膝	盛气度人
骄兵必败	穷寇莫追
前后受敌	左右为难
龙虎大王	鹅鸭谏议
好猫不叫	笨鸟先飞
两朝天子	一代圣人
多多益善	万万不齐
音容在目	浩气凌空
兴隆大业	昌裕后人
学界泰斗	人世楷模
人耳人耳	彼哉彼哉
六月六日	秋雨秋风
王戎李核	童贯梅仁
烹天子父	作圣人师
文坛先进	词学宗师
祖国花朵	未来主人
父子宰辅	叔侄状元
英雄无种	良玉须雕
日月经天	江河行地
龙蟠福海	虎踞春山
名昭图史	言炳丹青
贫不学吝	默无过言
高堂日永	绮阁春生
居仁由义	履中蹈和
开门有福	入室无尘
良操美德	玉品金心
礼种义耕	玉节金和
桃脸含秋	峨眉凝翠
看树看根	看人看心
柔情似水	佳期如梦
流水无情	落花有意
锦上添花	雪中送炭
物以类聚	人以群分
寸心万绪	咫尺千里
弹琴知音	谈话知心
八风从律	六吕调阳
歌声伴舞	音乐娱神
钧天奏响	太古遗音
遄飞逸兴	畅舒幽情
有伤早治	无疾先防
翻书益智	阅史清心
书山觅宝	学海泛舟
馆藏万卷	史证千年
曾三颜四	禹寸陶分
泪尽数行	诗留千古
白手起家	赤心报国
为此春酒	祭及先炊
岁聿云暮	夜如何其
胶月千里	长烟一空
鸡鸣戒旦	雀噪知更
猪羊满圈	牛马成群
槽头兴旺	厩内平安
析证诸子	衡量百家
游衍书溃	唾弃名利
拔剑砍地	投石冲天
闭门思过	依教观心
登斯楼也	大哉观乎
仁慈殷实	获寿保年
幽森静妙	典雅怡情
初三元旦	第二新年
天理肥皂	地道药材
浓书宰相	淡墨探花
紫阳世泽	白鹿家声
傍百年树	读万卷书
齐家公艺	治国子房
渔阳惠政	江左清才
金城标美	玉池流徵
西都十策	金鉴千秋
勋名翁叔	理学仁山
铜符鼎峙	玉笋联斑
嫦娥奔月	黛玉葬花
问樵闹府	打渔杀家
无帅打更	秀才计饭
刀劈五虎	水淹七军
群芳斗艳	百鸟争春
莺歌燕舞	姹紫嫣红
痴郎幻影	天女离魂
东山丝竹	南海衣冠
福无双至	祸不单行
闲人免进	盗者休来
一统江山	满朝文武
落时自舞	逝后闻香
如此江山	多少豪杰
辉腾福婺	香发琪花
俗心可鄙	流言莫畏
精神万古	气节千秋
芳草有情	夕阳无语
天高地迥	心旷神怡
杯浮梅蕊	诗凝雪花
笔酣墨畅	心旷神怡
博通上下	雅集古今
风行天上	香滴人间
虚心师竹	傲骨友梅
度盃万顷	传灯十方
凤毛济美	麟趾呈祥
欲正人心	引为己任
日逢重五	节序天中
树梢银花	心上春意
众德悉具	大悲所熏
依德之行	庸言之谨
描摩社会	开发心思
孔门弟子	鬼谷先生
斯文扫地	大雅扶轮
得大解脱	有小便宜
翠枝云布	黄蕊星罗
画为流美	书以言情
夏宜麻葛	冬用毛棉
福高德载	源远流长
门迎喜气	店满春风
货源恒足	生意长春
丰财阜货	裕国富民
汇川纳海	聚福生财
盈余得利	丰富多财
任挑任选	无假无欺
公平事业	利益文章
文明待客	礼貌经商
悬壶市药	铸镜鉴邪
逢凶化吉	起死回生
华佗再世	扁鹊重生
歧黄事业	菩萨心肠
延年益寿	救死扶伤
伶伦制律	师旷正音
高山埋宝	林海藏金
仙人旧馆	文章奥区
饮建业水	看蒋山云
文章华国	诗礼传家
党纪似铁	军令如山
卓冠贤科	优入圣域
人歌上寿	天与稀龄
立凌云志	做栋梁材
黄耉无疆	白圭有瑕
七菱八落	十榛九空
重洋特产	瀛海来深
闻香下马	知味停车
量才使用	备货充盈
萱堂日永	兰阁风薰
荷开并蒂	芍结双花
禧延萱阁	觞晋椒樽
颐性养寿	屡获喜祥
双星天象	全福人家
流水今日	修竹古时
莫笑人短	勿恃己长
怀山川趣	观古今文
竹无俗韵	梅有奇香
紫微栖凤	碧宇藏龙
雄声震屋	佳气充闾
花满三八	瑞凝长春
愿闻己过	求通民情
庭荣松柏	阶茂芝兰
苍松倚日	翠竹凌云
心修忠义	志在齐仁
宽宏大量	远瞩高瞻
光天满月	火树银花
境由心造	事在人为
廿年缔构	二水澂清
石城对奕	钟阜开基
其勋永耀	以德安邦
为善最乐	见恶必除
烈士之血	主义之花
中山三友	外海一人
进阶纳陛	入室升堂
夫妻偕老	庚婺双辉
移花得蝶	买石饶云
河山并寿	日月双辉
秀添慈竹	荣耀萱花
六朝古刹	七祖道场
不攻人短	莫矜己长
家中全福	天上双星
德同化宇	泽润生民
鱼翔浅底	鹰击长空
生作人杰	死为鬼雄
德敷上下	道贯古今
杨氏为我	尤物移人
青山不老	绿水长流
指鹿为马	画地为牢
投保一次	得利长年
物华天宝	人杰地灵
门迎紫气	路得青云
广撷众彩	博览群收
和谦为贵	勤俭是珍
山襟水带	虎啸龙吟
素王千古	名教万邦
我战则克	汝唯不矜
慈母温柔	宜家受福
孰教侮予	明以告我
一年保险	四季无忧
不以物喜	不以己悲
学知不足	事留有余
和风甘雨	淑景庆云
澹泊明志	宁静致远
人我皆醉	天地一沤
德侔天地	道贯古今
煮沸江海	融江冰山
福禄欢喜	长生无极
至法彼岸	长佛善根
汤爱尺日	禹惜寸阴
心如金石	志似松筠
身虽归土	名不沾尘
千峰拔地	万笏朝天
三餐味美	四季安康
三中开泰	两制补天
紫微栖凤	碧波潜龙
春观鱼变	秋听鹿鸣
花借月色	竹谐溪声
宝珠助艳	寒五分香
丹凤迎旭	黄莺唱春
蝉噪绿夏	雁鸣金秋
山环水绕	人杰地灵
门焕奎壁	栋接云霞
临池为圣	行止由贤
月色如昼	江流有声
萱荣堂北	婺焕弧南
春云霭瑞	宝婺腾辉
高等艺术	美化自然
胸中正气	雪里芭蕉
知足常乐	无欺自安
辞汉万户	送秦一锥
丹心托月	赤手擎天
黄泽不竭	老子其犹
学知不足	业精于勤
差之毫厘	谬之千里
砚磨雾起	笔染云生
飞蛾扑火	拍马贴金
顺势以理	因人而治
唯他世界	忘我乾坤
通天地处	入乾坤门
心生万物	意统千秋
行极反异	言深不传
持涅磐心	作平等观
发尽缘断	心死色空
愁助洒兴	琴动文思
人参果好	铁木真雄
听鸟说甚	问花笑谁
以文会友	与德为邻
双寿共道	两星齐明
青霜武库	紫洞云台
印传东汉	社结西泠
家传美德	世继嘉风
芳传虞坂	望出太原
银麇瑞角	锦树仙枝
惩恶扬善	持正秉公
具神通力	生欢喜心
依然故我	又是新年
天经地纬	岳峙渊渟
武松杀嫂	目莲救母
杀鸡取卵	打草惊蛇
得未曾有	从无始来
读书养性	花鸟怡情
寅宾出日	峻极南天
风调雨顺	国泰民安
民族英雄	吾党战士
祥麟臻圃	鸣凤栖梧
学知不足	文如其人
奥林匹克	萨马兰奇
血不肯冷	风谁与高
澹泊明志	夙夜在公
白虹贯日	紫气滔天
名扬四海	声震八方
为国捐躯	成仁取义
陇西望族	北海名流
庄严国土	利乐有情
彩霞团地	丹山登天
众生平等	一切有情
流水今日	明月前身
身居相位	心系黎民
即是前清	又为共和
荆襄屏障	楚塞幨帷
谈梅止渴	饮水思源
竖千年柱	架万代梁
鸣扬万壑	水击千崖
许多豪杰	如此江山
仗怪以力	取经唯诚
二人天合	一了子平
名麟俊彦	绣虎文宗
群空冀北	家在江南
彭城阀阅	兰水衣冠
三善名世	四韵家声
手忙脚乱	目瞪口呆
因小失大	随方就圆
聊复尔耳	可以已乎
隔靴搔痒	画饼充饥
感时溅泪	恨别惊心
君能使鬼	人尽呼兄
苦中作乐	死里逃生
大江东去	吾道南来
名扬四海	声震九霄
丑垂半足	甲不全身
书城巨观	人间罕睹
打退堂鼓	扯顺风旗
勤求古训	博采众方
一砖一瓦	大厦大楼
一炉鼓响	万吨钢成
钢花飞溅	铁水奔流
一知半解	三令五申
同床异梦	分道扬镳
人财两旺	名利双收
投鼠忌器	得鱼忘筌
成事莫说	复水难收
鹏程万里	志在四方
一厢情愿	两小无猜
水落石出	柳暗花明
渠渠夏屋	熙熙春台
源自姬姓	望出陈留
心通白藕	舌涌青莲
三贤世胄	万石家门
天然图画	一曲阳春
月色如故	江流有声
奇峰献玉	峭碧垂云
手忙脚乱	头晕眼花
士为知己	卿本佳人
一团和气	满面春风
南阳望族	北斗高明
放马后炮	吃眼前亏
义冠千古	德裕万民
家无儋石	气雄万夫
天作君师	门罗将相
公平有德	和气致祥
山矗天止	云起峰流
卜云其吉	奠厥攸居
振振公子	温温恭人
太丘德望	颖水渊源
布衣兴国	蓝筚开山
鸿图大展	事业有成
光腾银汉	辉映宝山
光腾银汉	辉映金山
一手遮天	无须扫地
难分上下	不是东西
无边云海	一节电池
一心齐唱	四面楚歌
毛里求斯	心中念尔
圆桌会议	方案分析
苏门答腊	贾府探春
东坡看戏	南海观音
三寸小脚	十分满足
难说有意	试对无情
山呼万岁	水煮三国
重阳老道	复旦大学
风开柳眼	雨润花容
文人墨客	瑞士法郎
万岁登基	一朝翻本
有心求对	无意买单
剥花生米	植树种茶
过眼云烟	满头雾水
情牵中国	爱走后门
日日上网	星星点灯
火烧赤壁	气运丹田
马来西亚	人去南非
相夫教子	映月读书
儒家鼻祖	华夏文根
仁德四海	师表千秋
说来容易	听得轻松
功亏一篑	名震八荒
书山向导	学海航标
擎杯邀月	奏曲思乡
谁怜黛玉	我爱黄金
杜鹃花丽	橄榄叶鲜
少儿频道	老生常谈
孤狼啸月	利隼盘山
春风惠我	好雨遂心
流云飞袖	下雨收衣
老态龙钟	新型马桶
说普通话	行万里程
在天一阁	拔地百楼
仁维一世	恕保终身
新生注册	大业奠基
万国异色	四海同春
冰融水散	藕断丝连
花开并蒂	叶落归根
因小失大	假公济私
延陵望族	廷尉名官
彻钟泰岱	绪衍箕山
鹤山受业	虎观谈经
家传乌巷	古继青箱
忠昭玉宇	义薄云夭
汝源流彩	玉渚分华
雪中送炭	火上浇油
人穷志短	马瘦毛长
岳阳仙客	渭水耆英
推诚无私	守信不阿
合理可作	小利莫争
绳锯木断	水滴石穿
云消雨散	海誓山盟
刮骨疗毒	挖肉补疮
顾此失彼	问东答西
公忠体国	机警能文
三槐世泽	两晋家声
家传诗教	系出荥阳
善颂善祷	美奂美轮
仁心为质	大德为生
鱣堂集庆	崔馆开祥
老欲依僧	急则抱佛
大汉千古	先生一人
有钱有势	无法无天
两眼向上	一脚踢开
