金牛贺岁	玉鼠回宫
金马辞旧岁	银羊贺新春
骏马奔千里	吉羊进万家
骏马春常在	吉羊福又添
骏马归山野	灵羊爱草原
腊鼓催神骏	春风送吉羊
马辟长安道	羊开大吉春
马驰金世界	羊唤玉乾坤
马带祥云去	羊铺锦绣来
马带祥云去	羊挟惠风来
马革酬壮志	羊碑纪丰功
马留英雄气	羊会世纪风
马年腾大步	羊岁展宏图
马去雄风在	羊来福气生
马首开新纪	羊肠拓锦途
马嘶飞雪里	羊舞画图中
马蹄留胜迹	羊角搏青云
马蹄留胜迹	羊毫谱新歌
马蹄腾瑞雪	羊角触红梅
马拓康庄道	羊挟惠风来
马拓康庄道	羊铺锦绣云
马有知途德	羊存跪乳恩
马跃庆丰年	羊鸣歌盛世
马载祥云去	羊携惠雨来
鸣莺传燕信	策马赴羊年
三羊开景泰	双燕舞春风
三羊开泰日	万事亨通年
三羊生瑞气	百鸟唤春光
笙歌辞旧岁	羊酒庆新春
万家腾笑语	四海庆阳春
未时骄阳艳	羊岁淑景新
五羊开玉局	万马闯雄关
五羊争献瑞	万马喜留春
羊毫书特色	燕翼绣春光
羊毫抒壮志	燕梭织春光
爆竹传吉语	腊梅报新春
亥时看入户	猪岁喜盈门
猪为六畜首	农乃百业基
爆竹欣祝福	银蛇喜迎春
龙腾丰稔岁	蛇舞吉庆年
晴点龙飞去	珠还蛇舞来
子岁先登富路	丑年再上新阶
犬吠佞人丧胆	鸡鸣玉宇生辉
舜犬重临华夏	犬年大展雄姿
春到红鬃马上	喜临绿柳门前
春到江南塞北	马腾正气清风
大地生香吐艳	神州跃马争春
飞雪片片凝瑞	马蹄声声报春
骏马秋风蓟北	杏花春雨江南
留下小龙胜景	迎来骏马新春
日丽风和景艳	人欢马叫春新
尚存金蛇灵气	重振龙马精神
天马横空出世	腊梅傲雪迎春
雪片纷纷凝瑞	马蹄得得报春
雪瑞年丰福满	人欢马叫春浓
升平岁辞戊辰	盛世春迎已巳
春自寒梅报起	年从玉兔迎来
春自卯时报起	福由兔口衔来
虎去犹存猛劲	兔来更显奇才
虎去犹留猛劲	兔来更显捷才
虎啸凯歌一曲	兔奔喜报九州
骏马四蹄击鼓	羚羊双角开春
立志当怀虎胆	求知莫畏羊肠
马去抬头见喜	羊来举步生风
马岁家家如意	羊年事事吉祥
马啸英雄浩气	羊鸣世纪春光
乌金黄土故地	白羊绿野新郊
喜鹊登枝祝福	灵羊及地呈祥
龙腾千年华夏	蛇舞世纪新春
白头能做识途马	俯首甘为孺子牛
爆竹喧天传喜庆	黄牛犁地播丰收
碧树红楼相掩映	黄牛骏马共迎春
碧桃无意随春水	黄犊有情鼓绿涛
碧野黄牛春日丽	红灯绿酒丽人年
布谷鸟鸣忙布谷	牵牛花绽喜牵牛
布谷声中闲人少	牧歌曲里颂春多
产奶无私甘奉献	充饥有草乐耕耘
诚心乐作人间事	俯首甘为孺子牛
川原蝶舞翩翩好	田野牛耕户户忙
春到人间新燕舞	喜盈门第铁牛忙
春归大地黄牛跃	神轾人间紫燕飞
春临门户白雪化	福降人间黄牛忙
辞旧迎新除硕鼠	富民强国效勤牛
辞鼠修仓迎稻熟	催牛耙地促年丰
翠柳迎春千里绿	黄牛耕地万山金
当年禹甸多铜马	今日春郊遍铁牛
丁年鼠匿辉煌业	丑岁牛奔旖旎春
耕者有牛皆种地	神州无处不欢歌
横心誓扫官仓鼠	俯首甘为孺子牛
红梅傲雪千门福	碧野放牛五谷丰
户户厌恶大硕鼠	家家喜爱老黄牛
花开江左白雪尽	春到人间黄牛忙
花木逢春枝叶茂	牛羊得草体膘肥
黄牛吃草生新奶	紫燕衔泥筑小巢
黄牛舔犊芳草地	紫燕营巢杏花天
黄土田间牛作画	紫微春苑燕吟诗
茧花绽放漫山绿	牛背飘来一曲歌
金光大道人催马	黄土高坡口吆牛
金牛开出丰收景	喜鹊衔来幸福春
君子闻声心不忍	庖丁善解目无全
可染画牛牛得草	悲鸿放马马扬鞭
腊梅花放雪将尽	春水温升牛甚忙
老牛力尽丹心在	志士年衰赤胆悬
良策善政多俊杰	乳牛老骥竞风流
绿柳摇风燕织锦	红桃沐雨牛耕春
牧草丛中春色美	放牛曲里笑声甜
牧童牛背春香路	游子马蹄梦醉乡
年丰人寿家家乐	春到花开处处耕
牛奔马跃行千里	凤舞龙飞上九霄
牛鞭当笔填新句	鸟语作歌报福音
牛耕碧野千畦秀	人值芳龄百事亨
牛耕沃野千畦绿	鹊闹红梅万朵红
牛耕沃野千山笑	雪映红梅小院香
牛郎不厌天河阔	织女但求凡世欢
牛郎弄笛迎春曲	天女散花祝福图
牛年喜奏丰年乐	人世笑迎盛世春
牛主乾坤春浩荡	人逢喜庆气昂扬
人勤一世千川绿	牛奋四蹄万顷黄
人寿年丰百姓乐	地肥水美众牛欢
人寿年丰农家乐	地肥水美春牛歌
人物风流心向党	黄牛勤奋力耕田
三春淑景景无丑	四化励人人效牛
神州无处不放彩	农户有牛喜迎春
鼠报平安归玉宇	牛随吉瑞下天庭
鼠年不做官仓鼠	牛岁甘为孺子牛
鼠年谱就惊天曲	牛岁迎来动地诗
鼠去牛来辞旧岁	龙飞凤舞庆新春
鼠去牛来闻虎啸	民殷国富盼龙飞
鼠去牛来欣大治	龙腾虎跃奋新程
数声柳笛飘牛背	无限春光亮马蹄
数声牧笛传新曲	四野耕犁试早春
蹄奋不须鞭震耳	牛勤何用用当头
铁牛喘月平畴绿	赤帜啸风满地红
铁牛拖出满山宝	茧手挖来遍地金
挺身勇灭官仓鼠	俯首甘为孺子牛
土生白玉牛羊壮	地产黄金鸡犬欢
为民当效黄牛力	报国壮怀赤子心
未许田文轻策马	愿闻老子再骑牛
五岭莺歌又燕舞	九州马叫并牛欢
写完福字描春字	迎到金牛买铁牛
新春乐咏黄牛颂	小院频传喜鹊歌
新春人唱黄牛赞	丰岁诗吟白雪歌
新春喜作黄牛颂	旭日高悬致富门
新村喜盼铁牛到	农家笑望春燕飞
新岁牧歌需纵酒	黄牛奋进不着鞭
一曲牧歌传牛背	无边柳色绿村头
勇当改革排头兵	甘作人民孺子牛
有福人家牛报喜	无边春色燕衔来
有庆年头牛得草	无垠大道马扬蹄
玉鼠回宫传捷报	金牛奋地涌春潮
玉碗生光辉琥珀	金牛焕彩耀星辰
猪肥牛壮家家乐	燕舞莺歌处处春
猪肥牛壮家增福	食足衣丰民自安
子去丑来腾锦绣	鼠归牛到竞辉煌
辞旧灵鸡歌日丽	迎新瑞犬报年丰
当于鸡鸣常起舞	莫为狗苟总偷安
狗护一门喜无恙	人勤四季庆有余
国富民强缘改革	鸡鸣犬吠报升平
鸡年利事家家乐	犬岁发财户户欢
鸡去瑶池传喜讯	犬来大地报春意
鸡声笛韵祥云灿	犬迹梅花瑞雪飞
鸡岁已添几多喜	犬年更上一层楼
鸡为岁归留竹叶	犬因春到献梅花
鸡追日月雄风舞	狗跃山河瑞气生
金鸡报捷梅花俏	义犬迎春柳色新
金鸡献瑞钦郅治	玉犬呈祥展宏猷
龙翔华夏迎新岁	气搏云天奋犬年
犬吠鸡鸣春灿灿	莺歌燕舞日瞳瞳
犬画红梅臻五福	鸡题翠竹报三多
犬效丰年家家富	鸡鸣盛世处处春
日新月异鸡报晓	岁吉年祥狗看门
瑞雪翩翩丰收景	犬蹄朵朵报春花
戍岁祝福万事顺	狗年兆丰五谷香
戌犬腾欢迎胜利	酉鸡起舞庆荣归
猴去鸡来胜利年	莺歌燕舞腾飞岁
猴喜满园桃李艳	岁迁遍地春光明
金猴献瑞财源广	紫燕迎春生意隆
金猴玉兔弄春色	紫燕黄莺弹妙音
紧握羊毫留青史	奋挥猴棒辟征程
满园春色关不住	两岸猿声报喜来
雪消门外千山绿	猴到人间万户春
羊羯回头添如意	猴王振臂保平安
银树呈祥花果硕	金猴献瑞国民殷
玉兔探月观新岁	金猴捧挑笑丰年
玉羊毫多添文采	金猴棒大鼓雄风
终迎胜利猴年赞	席再腾飞世人歌
紫燕展翅腾柳浪	金猴攀援上春山
百尺飞泉鸣震谷	一声长啸势惊天
丙部琳琅春馥郁	寅宾璀灿日光华
长白虎啸林中日	江南猿啼岭上风
赤县奔腾如虎跃	神州崛起似龙飞
丑旧寅新宏图展	牛归虎跃春意浓
丑去寅来千里锦	牛奔虎啸九州春
丑去寅来人益健	牛奔虎跃春愈新
春风浩荡神州绿	虎气升腾岳麓雄
春风着意随人愿	虎气生威壮国魂
春光春色源春意	虎将虎年扬虎威
春节乍闻春有喜	虎年乐见虎生风
春雷巨响山河动	月夜旋风草木飞
春晓寅回人起舞	岁祯虎啸物昭苏
电闪金光夸五色	雷鸣巨吼动千山
憨厚忠诚牛品德	高昂奋勇虎精神
虎步奔腾开胜景	春风浩荡展鸿图
虎踞龙盘今胜昔	花得鸟语旧更新
虎踞龙盘今胜昔	莺歌燕舞呈吉祥
虎年赢得春风意	喜讯唤来燕子情
虎气顿生年属虎	春风常驻户迎春
虎气频催翻旧景	春风浩荡著新篇
虎添双翼前程远	国展宏图事业新
虎啸大山山献宝	龙腾祖国国扬威
虎啸密林凤万壑	鹤眠苍松月千岩
虎啸青山千里锦	风拂绿柳万家春
虎啸一声山海动	龙腾三界吉祥来
虎跃龙腾生紫气	风调雨顺兆丰年
虎跃龙腾兴骏业	莺歌燕舞羡鹏程
虎跃神州千业旺	春临盛世万民欢
花事才逢花好日	虎年更有虎威风
黄牛虽去精神在	猛虎初来气象新
江山秀丽春增色	事业辉煌虎更威
江山一统腾龙日	岁月三春入虎年
皆称飞虎一身胆	不负英雄千古名
金牛昂首高歌去	玉虎迎春敛福来
金牛辞岁寒风尽	白虎迎春喜气来
金牛辞岁千仓满	玉虎迎春百业兴
金牛奋蹄奔大道	乳虎添翼舞新春
金牛奋蹄开锦绣	乳虎添翼会风云
金牛送旧千家乐	玉虎迎新万户欢
龙腾虎跃人间景	鸟语花香天地春
绿野春深禾涌碧	神州虎啸青山来
门庭虎踞平安岁	柳浪莺歌锦绣春
门浴春风梅吐艳	户生虎气鸟争鸣
年逢寅虎群情奋	岁别丑牛大地春
牛肥马壮丰收岁	虎跃龙腾大有年
牛肥马壮家家富	虎跃龙腾处处春
牛奋千程荣盛世	虎驮五福贺新春
牛奋四蹄开锦绣	虎添双翼会风云
牛耕绿野千仓满	虎啸青山万木荣
牛耕沃野扬长去	虎啸群山大步来
千载难逢新世纪	万民谱写虎春秋
乾元启运三阳泰	斗丙回寅万户春
人逢盛世精神壮	虎跃奇峰气势雄
人间喜庆康平世	虎岁承欢幸福春
人民气魄如龙虎	祖国江山似画图
人入虎年鼓虎劲	门添春色发春辉
人添志气虎添翼	雪舞丰年燕舞春
人效黄牛心自贵	岁朝寅虎劲更高
山明水秀风光丽	虎跃龙腾日月新
生气联吟欣虎虎	留春伴读奋年年
四海龙腾抒壮志	千山虎啸振雄风
四海三江春气息	千家万户虎精神
四海笙歌迎虎岁	九州英杰跃鹏程
唯大英雄能伏虎	是真俊杰敢擒龙
啸一声惊天动地	睁双眼照耀乾坤
新年捷报虎添翼	大路朝阳马奋蹄
兴伟业仍须牛劲	展宏图更壮虎威
一代英豪生虎气	三春杨柳动莺歌
英雄气概如龙虎	祖国江山似画图
英雄时代英雄业	龙虎精神龙虎年
莺歌燕舞新春日	虎跃龙腾大治年
迎春节莺歌遍地	兴中华虎劲冲天
云喷笔花腾虎豹	雨翻墨浪走蛟龙
宅后青山金虎踞	门前绿水玉龙盘
致富脱贫添虎翼	开山治水展鹏程
把酒当歌歌盛世	闻鸡起舞舞新春
保驾护航奔富路	昂头振翼唱东风
癸戴草头朝赤日	酉添春水上朱颜
国家安定人民乐	党政清廉事业兴
红日升空辉大道	金鸡报晓促长征
猴奋已教千户乐	鸡鸣又报万家春
鸡报小康随日出	年迎大有伴春来
鸡描竹叶三中颂	犬绘梅花五福临
鸡鸣喜报丰收果	犬吠欣迎富贵宾
鸡鸣晓日江山丽	犬吠神州岁月新
鸡鸣紫陌迎新曙	马踏青云奔小康
鸡声一唱东方白	猴棒三挥玉宇清
金猴留恋丰收年	彩凤欢啼盛世春
金鸡报晓歌大治	丹凤朝阳赞中兴
金鸡高唱迎春曲	铁牛欢催改革潮
金鸡唤出扶桑日	锦犬迎来大地春
金鸡喜唱催春早	绿柳轻摇舞絮妍
金鸡一唱传佳讯	玉犬三呼报福音
两岸金鸡歌一统	九州赤子报三春
鸟报晴和花报喜	鸡生元宝地生财
犬能守夜迎新岁	鸡可司里送旧年
四海升平歌舜日	九州盛世乐尧天
万户桃符新气象	群山霞彩富神州
万象喜回春守信	一元欣复始司晨
闻鸡起舞迎元旦	击壤而歌颂小康
喜爆千声歌盛世	金鸡三遍报新春
喜鹊登枝迎新岁	金鸡起舞报福音
雄鸡唱罢九州乐	金犬吠来四海安
雄鸡喔喔颂尧天	腊狗汪汪歌舜日
雄鸡喜报春光好	健笔勤书正气多
雄鸡喜唱升平日	志士欢歌改革年
雄鸡一唱天下白	锦犬再雕宇宙春
跃马扬鞭芳草地	闻鸡起舞杏花天
澳归犹凭龙剑气	邦兴勿忘虎门烟
八面威风增国力	九州春色启龙年
百尺高梧栖彩凤	万川汇海起蛟龙
报春乐曲神龙吟	强国宏图众手描
北海云生龙对舞	丹山日上凤双飞
笔架山高才气现	砚池水满墨龙飞
笔走神龙大手笔	春归盛世好青春
笔走神龙凭大手	诗流雅韵有高人
碧海惊涛龙献瑞	苍梧茂叶凤呈祥
才闻兔岁凯旋曲	又唱龙年祝福歌
彩凤来仪迎大治	金龙起舞庆新春
苍龙半挂秦川雨	石马长嘶汉苑风
苍龙日暮还行雨	老树春深更著花
苍梧拔地栖金凤	碧海连天潜玉龙
辰居其所众星拱	龙腾于天万国钦
辰年迪吉千重瑞	龙岁呈祥四季宁
辰日一轮驰浩宇	龙年百业壮中华
赤兔追风千里志	金龙拱日万家春
出海神龙开世纪	挥毫妙笔颂春秋
春到人间争虎跃	喜传域外庆龙飞
春光明媚江山上	龙虎腾飞事业中
春节迎来春气象	龙年抖擞龙精神
春日春风春浩荡	龙年龙岁龙腾飞
春雨多情绿大地	金龙展志壮神州
大业功成惊世界	巨龙飞跃盛中华
大丈夫无须待兔	有志者必定腾龙
大治凤鸣尤乐耳	小康龙舞更开心
丹凤朝阳歌盛世	苍龙布雨润神州
丹霞瑰丽神龙舞	大路康庄骏马驰
动地惊天龙气象	锦山绣水凤文章
风发龙门春浪暖	日临雁塔晓云开
风来松度龙吟曲	雨过庭余鸟迹书
改革迎来金虎啸	开放喜看玉龙腾
刚唱兔岁歌一曲	又饮龙年酒三杯
庚呈瑞彩迎春节	辰绽联花拓盛元
庚序开元民奋发	辰年启泰国腾骧
国策英明增国力	龙年飞跃展龙图
国富民殷龙献瑞	年丰物阜凤还巢
国运国兴凭国策	龙飞龙跃靠龙人
海阔何愁龙跃水	山高岂妒凤朝阳
虎啸无弦惊海宇	龙吟有意动河山
虎跃龙腾欢盛世	莺歌燕舞贺新春
户吉家祥歌且舞	龙盘虎踞慨而慷
花柳春风催燕舞	英雄祖国盼龙飞
华堂戏燕春风暖	盛世腾龙国色娇
华夏大地春常在	文明古国尽朝晖
华夏龙腾金鼓壮	新春马跃玉珂鸣
华夏龙腾金鼙壮	神州兔跃玉仓盈
华夏扬威惊世界	巨龙昂首恃风雷
黄龙行雨腾沧海	紫凤驾云上碧霄
挥毫凤舞千山秀	泼墨龙飞万水腾
绘龙图铭心济世	存虎胆立志兴邦
江河湖海凭龙跃	山岳峰峦任虎行
江山故国堪留鹤	华夏高天可腾龙
江山故国堪留鹤	华夏昊天可跃龙
江山秀丽神龙舞	道路逶迤骏马驰
江山依旧龙盘踞	世纪更新国富强
蛟龙出海迎红日	紫燕归门报早春
蛟龙腾海风雷激	莺燕闹春杨柳青
金龙报春春风暖	铁手造福福气浓
金龙出海迎新岁	彩凤朝阳贺小康
金龙闹海春潮涌	喜鹊登枝福韵高
金龙献瑞苏千里	绿柳迎春乐万家
锦绣山川春色绣	奔腾江海巨龙腾
九九祥云舒玉兔	千千情结系金龙
九天揽月中华志	四海腾龙民族魂
九州丽日迎新纪	四海龙吟乐大年
巨龙腾跃中华志	猛虎催啸民族魂
刻翠裁红新格调	屠龙刺虎好文章
快抓良机辞兔岁	欣承国运展龙图
况向长征驰赤兔	敢为四化缚苍龙
浪翻南海潜龙至	风振紫霄翔凤归
莲花锦地歌妈祖	荆树光天颂九龙
炼塔凌空荣广宇	油龙出海壮神州
两袖清风龙虎惧	一身正气鬼神惊
龙步青云酬壮志	鹏飞碧宇览神州
龙从百丈潭中起	春自千重锦上来
龙开盛纪新春丽	国展宏图大业娇
龙门丽景催鱼跃	祖国宏图任我描
龙门一跳迎新岁	燕子双飞报好音
龙省龙年龙起舞	虎林虎地虎飞腾
龙岁初临勤努力	辰光正亮著先鞭
龙岁迎来新世纪	莺歌唱出好春光
龙腾广宇添新秀	兔丽长河展壮图
龙腾虎跃春光好	鸟语花香世纪新
龙腾虎跃风云壮	物阜年丰国运昌
龙腾虎跃光明地	海晏河清锦绣天
龙腾虎跃闹春意	人寿年丰谢党恩
龙腾虎跃新世纪	年富力强好时光
龙腾虎跃兴大治	燕舞莺歌庆升平
龙腾华夏金鼙壮	春暖虞唐草木荣
龙腾华夏钟灵地	德启门庭毓秀人
龙腾盛世千家喜	春满神州万物荣
龙腾涛海易天历	虎变风云驾海虬
龙腾伟业超千古	鹏舞雄姿搏九霄
鼠去牛来闻虎啸	民殷国富盼龙飞
鼠去牛来欣大治	龙腾虎跃奋新程
数声柳笛飘牛背	无限春光亮马蹄
数声牧笛传新曲	四野耕犁试早春
蹄奋不须鞭震耳	牛勤何用用当头
铁牛喘月平畴绿	赤帜啸风满地红
铁牛拖出满山宝	茧手挖来遍地金
挺身勇灭官仓鼠	俯首甘为孺子牛
土生白玉牛羊壮	地产黄金鸡犬欢
为民当效黄牛力	报国壮怀赤子心
未许田文轻策马	愿闻老子再骑牛
五岭莺歌又燕舞	九州马叫并牛欢
写完福字描春字	迎到金牛买铁牛
新春乐咏黄牛颂	小院频传喜鹊歌
新春人唱黄牛赞	丰岁诗吟白雪歌
新春喜作黄牛颂	旭日高悬致富门
新村喜盼铁牛到	农家笑望春燕飞
新岁牧歌需纵酒	黄牛奋进不着鞭
一曲牧歌传牛背	无边柳色绿村头
勇当改革排头兵	甘作人民孺子牛
有福人家牛报喜	无边春色燕衔来
有庆年头牛得草	无垠大道马扬蹄
玉鼠回宫传捷报	金牛奋地涌春潮
玉碗生光辉琥珀	金牛焕彩耀星辰
猪肥牛壮家家乐	燕舞莺歌处处春
猪肥牛壮家增福	食足衣丰民自安
子去丑来腾锦绣	鼠归牛到竞辉煌
龙腾喜浪迎新纪	兔乐丰仓送旧年
龙腾霄汉开新宇	鹊立梅梢报福音
龙腾霄汉开新运	鹊立枝头报好音
龙腾新纪百年好	马跃长征万里遥
龙腾云海国昌盛	春满人间民泰安
龙兴阳动乾坤晓	政协人和天地春
龙萦华表冲霄汉	兔降葡旗别澳门
龙游沧海江湖小	狮醒神州世界惊
龙种自与常人殊	鹏鸟岂堪同日语
龙族喜迎千禧岁	华人欢度万荣春
梅花香遍神州地	龙步震开盛纪春
梅柳三春飞雏燕	炎黄一脉是神龙
梅为春意赋新意	雪向龙年报丰年
梅为小院添春色	鹊向龙年报好音
门对龙山门进宝	户栽花树户生辉
民情雀跃符民意	国步龙腾壮国威
民族振兴增国力	中华崛起赖龙人
明山卧虎吉祥地	丽水腾龙锦绣程
鸟鸣春日惊山水	鱼跃龙门动地天
七彩云霞铺锦绣	一池翰墨舞龙蛇
七五征程如奔兔	三中伟业胜腾龙
千家福气金龙降	万里春光紫燕衔
千里云霞辉大地	万般气象壮龙年
千秋事业神龙舞	一代风流骏马驰
千禧龙年歌盛世	万家灯火庆新春
千寻凤阁攀云上	五色龙江抱江流
青云浩气腾龙步	捷报宏图振国威
人心思治江山固	国步腾龙世纪新
人心向党人承福	国步腾龙国更强
日丽三江金凤舞	虹飞五岳巨龙腾
如意春风催虎啸	吉祥云彩壮龙腾
瑞霭满堂年喜庆	神龙闹海世清明
三中花雨播龙种	十亿神州起凤毛
诗画满园铺锦绣	风雷动地走龙蛇
狮醒九州驱虎豹	龙腾四海息风波
世纪春光辉大地	江山国色舞神龙
世纪风云龙际会	春风杨柳燕剪裁
世纪更新龙出海	春光焕彩燕衔泥
世纪图腾龙翘首	中华崛起国扬眉
书因鸟迹方成篆	文是龙心不待雕
四化征途加马力	三阳开泰颂龙年
送玉兔吴刚捧酒	驾金龙敖广献珠
